Subject,Group1_Map1_Gev,Group1_Map1_MeanDur,Group1_Map1_TimeCov,Group1_Map1_SegDensity,Group1_Map2_Gev,Group1_Map2_MeanDur,Group1_Map2_TimeCov,Group1_Map2_SegDensity,Group1_Map3_Gev,Group1_Map3_MeanDur,Group1_Map3_TimeCov,Group1_Map3_SegDensity,Group1_Map4_Gev,Group1_Map4_MeanDur,Group1_Map4_TimeCov,Group1_Map4_SegDensity,Group1_Map5_Gev,Group1_Map5_MeanDur,Group1_Map5_TimeCov,Group1_Map5_SegDensity
Subject129,0.030374,7.323995,0.086550,0.010529,0.052909,8.002772,0.126530,0.013611,0.295198,10.128268,0.336070,0.026582,0.234058,10.608305,0.353374,0.025575,0.031194,7.256969,0.089908,0.010956
Subject130,0.129787,10.711229,0.284463,0.021973,0.060280,8.957262,0.158208,0.015412,0.129589,9.652642,0.197821,0.017518,0.075789,9.072505,0.165288,0.015748,0.067549,9.013925,0.180273,0.016999
Subject131,0.071122,7.878460,0.158635,0.017396,0.071914,8.248373,0.158879,0.016572,0.323073,10.380470,0.354411,0.026948,0.145780,8.865059,0.236824,0.022553,0.029073,7.210735,0.088076,0.011017
Subject132,0.023659,7.145084,0.076479,0.009522,0.162760,9.593485,0.278970,0.023713,0.165114,9.085793,0.221900,0.020569,0.206822,10.339215,0.323832,0.024201,0.025376,7.276048,0.084353,0.010132
Subject133,0.057853,8.741813,0.132633,0.013062,0.091399,9.127668,0.190374,0.017548,0.160984,9.535442,0.219916,0.019654,0.235111,10.624022,0.339091,0.025513,0.037611,7.987103,0.113437,0.012238
Subject134,0.055238,7.586434,0.134373,0.015564,0.075339,7.859256,0.167516,0.018647,0.220017,8.769807,0.266152,0.025819,0.204151,8.786274,0.294229,0.028138,0.045540,7.324063,0.125431,0.015259
Subject135,0.113395,8.810152,0.235481,0.022706,0.098197,8.892974,0.200446,0.019532,0.132975,9.044988,0.204657,0.019807,0.095289,8.892666,0.184271,0.018128,0.070406,8.322812,0.165563,0.017365
Subject136,0.104492,8.614014,0.224494,0.022248,0.085064,8.441132,0.194525,0.019837,0.163554,9.389345,0.258522,0.023774,0.109916,8.506994,0.201453,0.020875,0.031121,7.745837,0.094943,0.011017
Subject137,0.139815,10.148224,0.276711,0.022828,0.078369,9.062396,0.177221,0.016602,0.190378,9.771252,0.256386,0.022095,0.092800,9.378801,0.175665,0.015900,0.039068,8.131310,0.107150,0.011322
Subject138,0.114194,9.763472,0.253761,0.021943,0.112172,9.687392,0.247139,0.021912,0.105729,9.428275,0.187078,0.017243,0.044627,8.829158,0.127537,0.012787,0.060159,8.713510,0.158513,0.015931
Subject139,0.076045,7.848728,0.150517,0.016541,0.096550,8.540020,0.181249,0.017579,0.270970,10.221135,0.317606,0.024384,0.144880,9.278522,0.226234,0.019745,0.043894,7.965968,0.118686,0.012940
Subject140,0.035532,7.948537,0.085818,0.009186,0.036289,7.565938,0.086184,0.009766,0.185489,11.286281,0.229957,0.016266,0.269461,14.462320,0.390027,0.019807,0.077149,9.957472,0.203986,0.016114
Subject141,0.020360,8.170900,0.077181,0.007996,0.073057,9.631345,0.170751,0.014191,0.468948,14.191733,0.479202,0.023072,0.145336,9.269936,0.221229,0.018952,0.011521,7.202275,0.048677,0.005982
Subject142,0.118647,9.060460,0.244789,0.022828,0.129325,9.275453,0.250160,0.022828,0.145628,8.862800,0.211737,0.020600,0.087100,8.607031,0.181249,0.017609,0.023057,7.269323,0.084750,0.010346
Subject143,0.070183,8.368171,0.174139,0.017396,0.090621,8.417087,0.178655,0.017762,0.397261,12.820509,0.461806,0.026673,0.032824,7.191811,0.081484,0.010285,0.030604,7.008790,0.090701,0.011597
Subject144,0.020698,7.727713,0.104373,0.012085,0.028824,8.358130,0.131626,0.013703,0.533710,12.694570,0.455214,0.026185,0.042434,8.103005,0.143651,0.015229,0.052184,8.436545,0.157903,0.016083
Subject145,0.079438,8.810138,0.196020,0.019379,0.103666,8.865981,0.215217,0.020966,0.176461,9.215682,0.228828,0.020844,0.089972,8.639228,0.176702,0.017792,0.061538,8.220798,0.165441,0.017579
Subject146,0.060113,7.566027,0.136753,0.015870,0.094369,8.223823,0.187414,0.019379,0.277932,9.756811,0.328837,0.027375,0.175983,9.053218,0.264595,0.024506,0.022743,6.709372,0.072329,0.009735
Subject147,0.061556,8.759056,0.152165,0.014832,0.062398,8.617951,0.143101,0.014344,0.185438,9.764289,0.242195,0.020692,0.127256,9.181641,0.215979,0.019257,0.133015,9.310628,0.237648,0.020386
Subject148,0.098939,9.442056,0.230689,0.020936,0.080389,9.206310,0.183935,0.017182,0.148158,9.697977,0.221442,0.019654,0.079758,9.087550,0.167791,0.016205,0.076771,9.072295,0.188330,0.017853
Subject149,0.060598,7.857911,0.149937,0.016724,0.079449,8.101828,0.169836,0.018555,0.224759,9.436331,0.290078,0.026032,0.135410,8.586316,0.216956,0.021851,0.068958,7.798690,0.165502,0.018708
