"","ampl total power alpha","ampl total power beta","ampl total power delta","ampl total power gamma","ampl total power theta","approx entropy","betw cen e-icoh alpha","betw cen e-icoh beta","betw cen e-icoh delta","betw cen e-icoh gamma","betw cen e-icoh theta","betw cen e-plv alpha","betw cen e-plv beta","betw cen e-plv delta","betw cen e-plv gamma","betw cen e-plv theta","betw cen e-wpli alpha","betw cen e-wpli beta","betw cen e-wpli delta","betw cen e-wpli gamma","betw cen e-wpli theta","betw cen s-lcoh alpha","betw cen s-lcoh beta","betw cen s-lcoh delta","betw cen s-lcoh gamma","betw cen s-lcoh theta","betw cen s-lps alpha","betw cen s-lps beta","betw cen s-lps delta","betw cen s-lps gamma","betw cen s-lps theta","clust coef e-icoh alpha","clust coef e-icoh beta","clust coef e-icoh delta","clust coef e-icoh gamma","clust coef e-icoh theta","clust coef e-plv alpha","clust coef e-plv beta","clust coef e-plv delta","clust coef e-plv gamma","clust coef e-plv theta","clust coef e-wpli alpha","clust coef e-wpli beta","clust coef e-wpli delta","clust coef e-wpli gamma","clust coef e-wpli theta","clust coef s-lcoh alpha","clust coef s-lcoh beta","clust coef s-lcoh delta","clust coef s-lcoh gamma","clust coef s-lcoh theta","clust coef s-lps alpha","clust coef s-lps beta","clust coef s-lps delta","clust coef s-lps gamma","clust coef s-lps theta","correlation dimension","dfa exponent alpha","dfa exponent beta","dfa exponent delta","dfa exponent gamma","dfa exponent theta","higuchi fractal dim","hjorth activity","hjorth complexity","hjorth mobility","katz fractal dim","kurtosis ampl alpha","kurtosis ampl beta","kurtosis ampl delta","kurtosis ampl gamma","kurtosis ampl theta","life time alpha","life time beta","life time delta","life time gamma","life time theta","lyapunov exponent","lzc exhaustive","lzc primitive","mean ampl alpha","mean ampl beta","mean ampl delta","mean ampl gamma","mean ampl theta","microstate A","microstate B","microstate C","microstate D","microstate E","mod index alpha-beta","mod index alpha-gamma","mod index beta-gamma","mod index delta-alpha","mod index delta-beta","mod index delta-gamma","mod index delta-theta","mod index theta-alpha","mod index theta-beta","mod index theta-gamma","node str e-icoh alpha","node str e-icoh beta","node str e-icoh delta","node str e-icoh gamma","node str e-icoh theta","node str e-plv alpha","node str e-plv beta","node str e-plv delta","node str e-plv gamma","node str e-plv theta","node str e-wpli alpha","node str e-wpli beta","node str e-wpli delta","node str e-wpli gamma","node str e-wpli theta","node str s-lcoh alpha","node str s-lcoh beta","node str s-lcoh delta","node str s-lcoh gamma","node str s-lcoh theta","node str s-lps alpha","node str s-lps beta","node str s-lps delta","node str s-lps gamma","node str s-lps theta","permutation entropy","range asymmetry alpha","range asymmetry beta","range asymmetry delta","range asymmetry gamma","range asymmetry theta","range coef var alpha","range coef var beta","range coef var delta","range coef var gamma","range coef var theta","relative ampl alpha","relative ampl beta","relative ampl delta","relative ampl gamma","relative ampl theta","rqa determinism","rqa entropy","rqa laminarity","rqa max diagonal","rqa max vertical","rqa mean diagonal","rqa rte","rqa trapping time","sample entropy","skewness ampl alpha","skewness ampl beta","skewness ampl delta","skewness ampl gamma","skewness ampl theta","source ampl alpha","source ampl beta","source ampl delta","source ampl gamma","source ampl theta","spectral entropy alpha","spectral entropy beta","spectral entropy delta","spectral entropy gamma","spectral entropy theta","std ampl alpha","std ampl beta","std ampl delta","std ampl gamma","std ampl theta","waiting time alpha","waiting time beta","waiting time delta","waiting time gamma","waiting time theta"
"ampl total power alpha",0,0,0,0,0,0,0.000818683815158039,0.50953695067642,0.0468443782072605,0.522263631507529,9.54187556079233e-07,3.53933549135377e-11,6.22427767327238e-07,0.00730826832635267,0.0421359200896748,8.88178419700125e-16,0.157998172898795,0.804483197420702,0.208546016733611,0.933604755873952,0.0164553904921763,0.0085253999949908,0.184042684055104,0.633597208206737,0.0553806878987704,0.000721042082098999,0.00697368146605393,0.417541028472921,0.163279130154132,0.219082596484726,0.0491376591044378,0,0.504386722667864,0.181636229676042,0.627568521260561,0,0,0.0537403740897927,7.21705329886912e-06,0.0963567007000975,0,0,0.401265727514833,0.228027633458664,0.179413700422965,0,0,0.0791525183040628,0.00650320954013195,0.748423501030732,0,0,0.158406544548692,0.0243113902798473,0.720588725926649,0,0.00777261325561918,0.0222682272056967,7.07755447404423e-06,0,0.0380295794245017,0,8.88178419700125e-16,0,0,0,0,0,0.0974000178326768,0,0,0,0,0,1.36209844736612e-07,0,2.66539545989986e-08,0,0,0,0,0,0,0,0,0,0,0,0,2.05001227104873e-09,0,0,0.018048200294509,0,0.030973537545105,0,0,0,0,0,0,0.492342153790621,0.138211719172207,0.644195684971228,0,0,0.000435220407552062,1.73219660837276e-10,0.0178171067826234,0,0,0.350058430865625,0.205474398074806,0.101198172653749,0,0,0.0584301748820452,0.00789616537865268,0.770730849447597,0,0,0.134076420053897,0.0284951079663069,0.763879799371722,0,0,0,0,0.0399522825623051,0.0711199588554403,0,0,0.00211141207846222,3.33066907387547e-16,0.327796652693014,0,0,0,0,0,1.77635683940025e-15,0,0,0,0,0,0,0,0,0,0,0.0270388099005345,0,4.19273504803641e-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0761612942178825,0,0,1.00373088134376e-05
"ampl total power beta",0,0,0,0,0,0,0.0821927448823048,0.000227356010433999,0.0030847329888487,0.33466621909483,0.0952869999030923,0.00584680935062232,0.000863424244173072,3.50100308423862e-05,0.048852629237181,3.95704133793195e-07,0.497658017816709,0.0928384384741041,0.449682117157643,0.795342591590633,0.718251751591077,0.185455881870654,0.00430399501587908,0.270410844808542,0.321717944107806,0.482426869431236,0.00283000346232309,0.0975892820643597,0.426585925820745,0.584356442584608,0.381230006172305,0,0,0.00257009089616722,0.700092652306144,0,0,0.00172977965450649,0,0.0487512187629454,0.0176914494911229,0,6.98330282489223e-14,0.0140892693230034,0.616422424534177,0,0.000959061052832721,0,6.1561486867201e-05,0.418266260019228,4.63986429568575e-05,0,0,0.000120164932929878,0.556453280716832,1.59240176600406e-10,0.707610067424769,0.125842643308109,1.57439759229661e-06,1.60760293965723e-13,0.0216226656074765,0,0,0,0,0.000451907086194803,0,1.92772131590857e-09,0.0045039039388155,0,0,0,0.00133723161683752,2.10335819712526e-05,1.55431223447522e-15,7.46325152527483e-05,0.202373297902553,0,0,0,0,0,0,0,0,0.0022313495201336,0.00122594004874343,0,2.23513329100644e-06,0.00101093558739074,0,0,0.000841081261710563,0.0114741289921305,1.08798361653228e-07,0,0,0,0,0,0,0,0.00422626803476245,0.648953569351134,0,0,5.68453758376108e-06,0,0.0188062999115558,1.00102812614633e-05,0,9.64783808399261e-14,0.0332157818047094,0.585596473096637,0,0.00105378985604432,0,6.86708475041709e-05,0.485454579575622,4.29152705105906e-06,1.11022302462516e-16,0,0.000179276406833351,0.558020401345015,1.00497388189069e-12,0,0,0,1.9686281493847e-09,0.0041520052688041,0,0,0.0886803949024051,0,0.175638156162973,0,0,2.53189838241852e-05,0,0,1.84527759738984e-09,0,0,2.1094237467878e-15,0,0,0,0.000202633958628295,8.89136488879672e-08,0,2.87484367422763e-08,1.27987731524115e-10,0,0,0.000173022657613986,0,0,0,0,0,0,5.58527294280964e-06,0,0,3.50820483774328e-11,0,0,0,0,0,6.57929266623114e-11,0,0,2.00723733190245e-08,9.77987402560609e-05
"ampl total power delta",0,0,0,0,0,0,0.0452408492442256,0.434534838789265,0.00645189293918136,0.546782255120106,2.20831605941552e-05,0.0585479605609215,0.0108908393852933,9.96122297058921e-06,0.162973975427408,0,0.807288674305724,0.179762486965276,0.244734396996831,0.720903016826534,0.111348836783515,0.183383517493805,0.00942574344876279,0.0894040511874027,0.453290998656688,0.0134967050250255,1.85292973782225e-05,0.476296444808433,0.0356104521442913,0.785928051502759,0.059110953143624,0,0.39252988362714,0.0621738568125565,0.707913345149215,0,0,0.461504179925975,3.50814416405498e-08,0.127774230766297,0,0,0.423838474751333,0.0577914004081697,0.650412417736602,0,2.38857933432257e-09,0.202058102550507,6.44728840537567e-07,0.431253261923827,0,1.19904086659517e-14,0.171615927861287,2.90709155548186e-06,0.734019934416934,0,0.128226739865478,0.465218821907853,0.00034476777769743,0,3.13689240108994e-05,0,1.35357730739472e-05,0,0,0,0,0,0.146255218526713,0,0,0,0.0280700538234644,1.10555607335527e-07,0,3.66446725186265e-07,7.82412676869626e-08,0,0,0,0,0,0,0,0,4.32986979603811e-13,9.05307000365063e-06,0,0,0.0374100049695554,0,0,0.155098703375362,0,0.436329802886646,0.278795631666985,0,0,0,0,0,0.269773987158064,0.0270412176756107,0.645256365172941,0,0,0.232310333943467,2.22044604925031e-16,0.075414348009435,0,0,0.281107087572339,0.0331027406000239,0.725899636843891,0,3.14530790301859e-08,0.220269681555353,8.43618640278265e-07,0.563860884564755,0,8.45989944764369e-14,0.165791920727137,3.59286563078598e-06,0.784692031747312,0,0,0,0,0,0.102502278925155,0,0,0.000319504612710686,0,0.392583460131009,0,0,0,0,0,1.22861714371147e-05,0,0,0,0,0,0,0,0,0,0.100838391256885,0.59116266330289,0,1.34892097491957e-12,0,0,0,0,0,0,0,0,0,0,5.95465394543915e-05,0,0,0,0,0,5.88488372399443e-06,0.0402342961103581,0,1.73998217167792e-07,0
"ampl total power gamma",0,0,0,0,0,0,0.733224519711731,0.00342398890153506,0.00370127920978613,0.00319338159429716,0.0884724581047331,0.696233901278434,8.07569010086162e-06,0.0209841962065542,1.10656882130744e-05,0.000208218242788938,0.625163661588664,0.305438526334067,0.0386764700534268,0.680516852872706,0.608196649328245,0.168436576775996,0.00704098926009,0.0621953137209259,8.09426407726299e-05,0.614393107667585,0.0978223287617638,0.000349125765262803,0.612628913902211,0.0227809418004287,0.359042480302941,0.162438219557114,0.000838292110565186,0.413286114739085,0.0405104836177888,3.4278523242115e-08,0.0152082915818462,0.00854449852699979,0.0152203323028888,0,0.0177512282434353,0.220339230071198,0.00620876522960923,0.327965240401322,0.000191155322325387,1.49555399431289e-06,0.770775943362949,0.0119318556754013,0.00484300364892687,1.15113571397263e-05,0.0294505876436472,0.610979833669462,3.36551317106082e-05,0.00851025688013796,5.32907051820075e-15,0.000410824134218668,0.923865046128483,0.512971610239858,0.265689404234033,4.38050706819126e-11,0.100962766757743,9.69164304365222e-10,0,0,0,8.28226376370367e-14,0,1.43220704373892e-05,0.0116256262751242,0,1.61426427780498e-13,0,0.126287766785855,0.00089488990571418,4.34839484420024e-08,9.36084543212701e-12,0.11731489006807,1.17781340236434e-11,5.43911915507067e-10,1.96080818248845e-10,0,0,0,0,0,0.0304992804135191,0.000346814916603044,4.85156359530947e-12,0.0119217305386043,0.172439963434728,6.65223431894901e-12,6.92806700897108e-10,2.49944806407498e-07,0.230275038213543,8.9129288993739e-07,9.78718071031892e-08,0,0,0.000118223733881595,0,0.194701532062627,0.00018010057489759,0.462063093800993,0.0241532899740673,1.63537289266102e-08,0.0198836388212866,0.000131220344381289,0.000530204277305213,0,0.00087648612199287,0.354637809503098,0.000802913933668825,0.401759737188597,1.82247766964405e-05,2.28255234158148e-07,0.760656482054037,0.00876341943809766,0.00579206620813932,5.46191217809522e-08,0.0130325499473281,0.580221645981767,6.36342373683263e-07,0.0128606511070428,1.11022302462516e-16,0.000327658915491247,3.47629702801555e-11,0,1.11022302462516e-15,6.04221295219531e-09,2.29816166097407e-14,0.000350779714164418,4.44089209850063e-16,0.0367686040072615,0,0.480670075588403,2.55351295663786e-15,9.71715066300227e-07,0.00262073720516842,0,0,0.0130764374365502,1.575108088403e-08,2.18869367074603e-12,2.21767049168875e-12,0.00310832945409212,0.000669887901156185,2.36449748669543e-11,1.11022302462516e-15,3.4461600240121e-10,3.42845751788445e-11,0.47354687564032,0.769598473333653,0,0,8.23174465125476e-06,0,0,0,0,0,7.14954654479349e-07,0.000921920918722341,0,0,0.005063750016715,0,0,0,0,0,0.0335430839590622,0.00675990317707154,0,2.06501482580279e-13,0.013746968595721
"ampl total power theta",0,0,0,0,0,0,0.000370044392008051,0.568817739876468,0.0760545852237116,0.783380554919094,0,0.0377715986876437,0.0146194811191898,0.000241961797189161,0.175845293496889,0,0.317758337596497,0.418133152954391,0.0888066494312607,0.896903299397822,0.0194080923386499,0.278917375600165,0.0432670685181529,0.489009996973843,0.446160857218347,2.49299652499424e-06,0.00270934115447519,0.491130293801777,0.0124161441458805,0.504160832347653,0.0417810462433481,0,0.552201956871948,0.0155929282157345,0.604862863989065,0,0,0.494757864624048,4.98992633979345e-06,0.334152931375196,0,0,0.449460691374657,0.0130357780057779,0.438587625837046,0,0,0.193147719281878,9.84193838162728e-05,0.506492869879433,0,0,0.0549428100737046,0.00103657139857294,0.789127067601799,0,0.000390281814469207,0.177794955980992,0.00072562616943439,0,0.00140983864794431,0,2.37174835771015e-07,0,0,0,0,0,0.0240590228360258,0,0,0,4.29617236228363e-05,0,0,0,2.72345923590933e-10,5.20872234233138e-12,0,0,0,0,0,0,0,0,0,0,0,0.111995222355237,0,0,0.163661778332858,0,0.400670825752503,0.197158081078276,0,0,0,0,0,0.460014505332557,0.00522251319475098,0.521766960433471,0,0,0.277184968256775,1.38971056884429e-11,0.173558609699102,0,0,0.332420076295045,0.00463829624326118,0.466970644629139,0,0,0.227259693642197,0.000186199920213848,0.649110661058428,0,0,0.0793274306470108,0.00144162633333444,0.838856546363596,0,0,0,0,6.72356930131457e-08,0.0811093832875813,0,0,3.08947617266853e-07,0,0.665867268097294,0,0,0,0,0,1.02618580299918e-10,0,0,0,0,0,0,0,0,0,0.032028413751895,0.0371716174367415,0,7.07885921347184e-06,0,0,0,0,0,0,0,0,0,0,2.91522707529523e-07,0,0,0,0,0,4.44089209850063e-16,7.42266217379495e-08,0,0,0
"approx entropy",0,0,0,0,0,0,0.000503610867981896,1.67622357105657e-07,0.303586275331827,0.0154297621768353,1.860672589582e-05,0.0324527275826836,0.0013912717292075,0.747689598880843,0.320781618777578,0.012064407586738,0.365700468738706,0.0756305652442143,0.746382611308326,0.594211814156744,0.156206941384672,0.0376192579621111,0.00348992311392893,0.427883346422997,0.176541584484298,0.0536606379579265,0.0298627853800969,0.00900674987084149,0.191776114053294,0.511347069718789,0.098368512103198,0,4.23223678325257e-11,0.661436535669443,0.326079229785061,0,0,2.62343868850934e-09,0.201342110192288,2.73892020175026e-13,4.68754465687837e-07,0,1.56985535681997e-13,0.543840808383103,4.05347865471972e-05,0,2.88657986402541e-15,0.00403979600884874,0.218516277662443,0.179808782025066,1.88926652100463e-12,9.74754543747736e-09,0.00141933064768984,0.320430606494799,0.0494468071176595,1.99840144432528e-14,2.38228681914698e-06,0.174550100783598,0.00332228900825593,0.000555986251291496,0.0715860907946376,0,0,0,0,0,0,0,1.74959192249524e-05,0,1.82723602915047e-09,1.82285408989458e-10,4.44089209850063e-16,0,0.444942650641235,0,0.0290365382546833,0,0,0,0,0,0,0,0,0,0,0,0,4.1575187736953e-11,0,0,0.219357761813523,0,1.74950720577272e-09,3.10862446895044e-15,0,0,0,0,0,7.25465243434087e-11,0.598072323474067,0.292678027833962,0,0,2.12152517775621e-11,0.0419771675677199,2.23154827949656e-14,1.72895110339688e-07,0,8.48854320167902e-12,0.469480662376428,1.44432145886553e-05,0,6.45483666517066e-13,0.0058697550209641,0.17230306108905,0.040293012080443,1.4122036873232e-13,7.09952685529203e-08,0.000517013568233082,0.284171074150627,0.0285515634267843,0,0,0,4.56553683747529e-11,0.581288800400395,0.000318997069849614,3.75852676248734e-06,4.66550859723469e-06,0.237054407511272,0.0167235228386768,0.40239192252677,6.89090062788722e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.45059275702408e-09,0.213023218290829,0,0,1.18439824614569e-08,0,0,1.41190856761675e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0371042664981706,0,0.00184141532611926
"betw cen e-icoh alpha",0,0,0,0,0,0,0,5.08366318712206e-05,0.478323211262846,0.40274249401283,6.1283065289075e-09,0,0.00145409407113473,0.0619541882761215,0.611147702421151,6.05986262391944e-06,0,0.00133673612778895,0.157496096991257,0.795947731490396,0.0158597069073343,0.13671882365615,0.267028950207846,0.601668147029393,0.732750767662897,0.163766828344723,0.058790321315273,0.47545891289494,0.784606233647353,0.0434839063313508,0.499986248188979,0,3.78861174876732e-07,0.822862938356236,0.44234463766335,8.53980108850294e-09,0,0.851602331318118,0.348510711850746,0.332094492153207,0.000330585106021131,0,6.05773708972634e-09,0.904175038953082,0.375829357496993,8.92508289496163e-12,0,0.0960816987893777,0.969728097163134,0.342216961642896,9.01845265133261e-11,0,0.154793472884289,0.968505238236078,0.549905760783673,5.45385611672167e-07,0.256114879484168,0.21196813644784,0.0270280930154588,0.176964828888284,0.21748690221534,0.0268052397709062,0.00473970601660101,0.00097414150662134,5.51543949622868e-07,0.00320438989520966,0.000478708235995273,0.102737323232746,0.0575902016068808,0.000145392654699594,0.00180964543915296,0.0958554313075823,2.57542050540183e-05,0.109732026329008,0.00199651986311977,0.0310888147484079,0.284735234163293,0.0203668558699903,0.000150598981467187,0.000124155691580086,0.000818682764483381,0.0821951793846323,0.0466706096939269,0.733225778845241,0.000369932571634424,0.0375677287120502,3.73281667842562e-06,3.46389583683049e-14,0.0387460008122233,0.010603054495405,8.90274354103937e-06,0.0352360864857699,0.00491333988668186,0.306644838908118,0.0898462523680162,0.00958457183012984,0.0483017060557127,5.25181276582742e-05,9.75305243402502e-05,0.0196891748671865,0,1.0158879404365e-07,0.792582127817505,0.558218464737828,2.85791623699794e-09,0,0.755407902682009,0.319514275594895,0.369374033514743,0.000356357811922114,0,8.95768570430278e-10,0.900140160002951,0.451889131600572,1.70197189675036e-12,0,0.0269098236136875,0.969405918524293,0.418845569615884,5.88196158446408e-13,0,0.131575175144442,0.968853305058276,0.611858635584557,5.71244410663141e-08,3.38060313076483e-09,3.21103714839843e-07,6.62782784210947e-09,0.594297731053215,0.492002523470462,0.0994978320595631,0.108540582338301,0.079034208854237,0.0380781330008642,0.0423926742608152,0.0159389448469339,2.13011022154319e-08,0.000373607138097642,1.31254429547312e-08,3.55336277013674e-05,0.00828778860014434,1.06565956614624e-07,3.23993076811746e-09,2.65788737683348e-05,1.59958812973038e-07,5.27438093200772e-11,1.64052205153808e-09,1.99764895028043e-05,0.000271602049495279,1.09787425817132e-08,0.000208430900970002,0.00194538245268949,0.000223360000520145,0.268764846163094,0.00191605277935714,9.15051368011177e-11,0.00243522076300562,3.38488309514773e-06,0.199504481360391,2.90844903716447e-09,9.17305320591311e-09,7.19241744795429e-05,9.520309951494e-08,1.32366076427415e-05,0.0131194016247047,0.000417313499877503,0.0926370139164748,0.030301089238001,0.679062160205603,0.000506255503399,5.04231408982037e-06,0.000937096651783764,0.0011384214811232,0.100820337535981,0.0240528663098245
"betw cen e-icoh beta",0,0,0,0,0,0,0,0,0.838060393898648,0.00724028393553711,0.207863469451793,0.000118897475425928,0,0.498055776806133,0.520040167132837,0.743317709013551,0.67178746148387,0,0.662922862128894,0.225592883625455,0.0151210916940849,0.909788805746815,0.000176361981612194,0.779279004908851,0.606956708516655,0.521819710346656,0.10717740024224,0.00636531691354769,0.836140035288056,0.0717634298487696,0.38234821266288,0.000921909043670621,0,0.93707288293753,0.0483608664433069,0.803006735605786,0.497524770609016,0,0.790237361567825,0.567123846076442,0.505155114751081,0.0101231078857917,0,0.937813689174288,0.0269280009491998,0.818158510139542,0.581815710242815,0,0.898450898244592,0.0759691937590116,0.706493657787358,0.0125462320228651,0,0.917781648768261,0.667106483597216,0.522860941466731,0.149589690406338,0.545832393828623,0.14715518286484,0.349462967212536,0.049364964633432,0.404459970446876,5.07426012319456e-09,0.429501253591185,1.85872189928382e-06,4.51023940417628e-09,0.00376673150015772,0.295135623554714,2.02923286971579e-05,0.121208672627249,0.00656495981950644,0.0246314074395549,0.860630820249603,1.88737914186277e-14,0.0309662057111193,2.10816919476997e-11,0.546210519531211,0.0667229398029227,0.0019847617398483,0.00457564088975926,0.509536270819086,0.000227332604928021,0.430925472695714,0.00342394197794249,0.568829882374947,0.164210117726428,0.0739077956955385,0.521054690907104,0.113204306718866,0.312867644825949,0.442296676552271,0.288230633914485,0.019180741967884,0.0577280329142434,0.0885128171281734,0.319610388249908,0.237464915227434,0.710720119675109,0.625577846584927,0.00796657933787848,3.52114571948725e-05,0,0.925849958667316,0.0318545174562964,0.81881603709067,0.411951878553399,0,0.683354845599593,0.695525057512713,0.407143047432352,0.000341747406258142,0,0.938134197466486,0.0250282511065265,0.842713740031095,0.440991584269928,0,0.889442023986603,0.116575083729727,0.714107018631901,0.00178440692833959,0,0.905549363325716,0.687860151030343,0.498758138126325,0.534979182718546,0.679945028637235,0.0129959480376232,0.36580452259604,0.163516686558485,0.0704864665557601,0.372604235938347,0.0700967878274947,0.25182127668118,0.0147372048130823,0.0155901915900289,0.690632288291296,0,0.00901856491535713,0.606877292550125,0.696609266879617,0.0340933943645452,0.492765427734985,0.00113826292584873,0.0393745869414747,0.408216126800857,0.45793739392601,0.430073752911516,0.0762899148647069,0.57988079049345,0.832634964725051,0.53197469345638,0.435135729953152,0,0.809970882844626,0.250069112892675,2.08346383434588e-05,0.0121211149656832,0.147671985281958,0.613374668950716,0.774901827059882,1.11022302462516e-16,0.0160312814547383,0.599132817470296,0.720041868532242,0.519524206384765,0.000157927627231769,0.455433024601889,0.00232781224303591,0.567826858201081,0.7741795802998,1.46325174199546e-11,0.0856792131824839,8.79518680108049e-13,0.354739072790419
"betw cen e-icoh delta",0,0,0,0,0,0,0,0,0,0.23585112058208,0.841077167403552,0.872575613931184,0.137151415696468,0,0.707339047248692,0.288980151310249,0.128266612047168,0.864530395216247,0,0.469435654599989,0.830016188489773,0.0642736846362584,0.00752683650878638,1.46177436821660e-09,0.552438370589493,0.766376007078684,0.16695833374763,0.105510194141703,2.62411203877377e-11,0.00959638905641391,0.160487049078686,0.571783740879232,0.12276253515874,0,0.35596643050674,0.435087168562901,0.792670039244272,0.498075389145019,0,0.170396736144014,0.642919413552936,0.667993179079764,0.271279630195181,0,0.314931513889374,0.386865871020277,0.695132143370195,0.134603161464632,0,0.251372878817969,0.226896948491118,0.78684572616412,0.0959549024376032,0,0.367064856562036,0.029558308509559,0.717716337454353,0.00440251276761305,0.000827855996841431,0.17788642590386,0.000131303243554148,0.0904871664050494,0.459120293123709,0.0174483416731546,0.0847054613752436,0.470125574792657,0.000804588124359684,0.00442015331778201,0.000549420336519946,0.047365267305866,0.279969679805783,0.290654636238389,0.737246158454317,0.0420634929264938,0.560041307629113,0.214371045377941,0.637628242854974,0.153344797524608,0.452800162255085,0.469452730521246,0.0468444008971767,0.00308474889997212,0.00647308738956309,0.0037013021459299,0.0760668865244478,0.358868224473526,0.344569073861297,0.22866061498759,0.532382641926722,0.241236931900214,0.776943117113939,0.866134574488901,0.827151256145667,0.476328656746429,0.0855029182739105,0.232389994257758,0.0398999148444689,0.0808036444152986,0.463969318407697,0.0987565191518904,0.500004388104512,0.150892898350851,0,0.409022107762171,0.443823780720264,0.772398159077978,0.459982683599213,0,0.13620237859126,0.497836307556214,0.586953727994448,0.434902727682295,0,0.348241365994614,0.38158784212972,0.728536994203393,0.182730724318613,0,0.153251014194417,0.229305888465724,0.847882916457527,0.134171602098211,0,0.25153352813021,0.0338048203448946,0.221549927640274,0.0774079995889546,0.0374853981855099,0.0569438722367916,0.0906715201586528,0.539159294102269,4.07167339400161e-07,3.62563735856192e-06,0.190764989028569,0.121604333749353,0.642425637597381,0.509604886466671,0.398821160668776,0.392555462029668,0.486364123428658,0.38049807573931,0.380519834096386,0.241858152480797,0.472142385530515,0.467505400261698,0.680570027044803,0.28373299419527,0.0897120862386709,0.52260942200279,0.375327242896956,0.64152831329852,0.813826801540131,0.11346584243059,0.0314231957409228,0.51615153066327,0.245019807279873,0.254555449692604,0.0112965625701142,0.255454983947745,0.503616478199658,0.422532105543914,0.371288454944505,0.388076585596358,0.457945231122286,0.398816516070818,0.0272798968425847,0.00422143272847419,0.00567827034945945,0.00629716939549452,0.0777446374144312,0.914204111395116,0.00718576134693871,0.00881986567804027,0.140655571252665,0.480642558713692
"betw cen e-icoh gamma",0,0,0,0,0,0,0,0,0,0,0.854273073046613,0.132096509766518,0.442537689070192,0.253286658168081,0.14221970743801,0.209580896944015,0.330287573115891,0.809915709810366,0.569058916356386,0,0.748264240861417,0.652735746815403,0.570897666017612,0.666324033449478,0.561545644202016,0.300117005800835,0.620496637030745,0.332364805253853,0.854294259133806,0.263510073298804,0.110266988614188,0.379187954518567,8.39993285706164e-07,0.527865567445367,0,0.463541217863505,0.561852585150061,0.0238266356571445,0.69297859290532,0.00370298390615842,0.33709208206656,0.410529273998832,0.0159217191138534,0.679419016272928,0,0.401765240714809,0.424247942553859,0.435288189089079,0.711325511877084,0,0.6210184106652,0.778424197367035,0.00712332753641287,0.646169282840736,0,0.230062865794735,0.0333510958058386,0.0352877644343448,0.00496172819550367,0.772663480881587,0.171679734744444,0.352280079448124,0.857894356098189,0.544139511706151,0.763029222797142,0.0696622196693539,0.505949608568211,0.73631376926547,0.251277032894227,0.484839535218672,0.000941429189131537,0.209019898415235,0.564346891103681,0.664558672827065,0.47191085831234,0.121036562290348,0.801474739557408,0.491496802837212,0.207577776072181,0.18378759963138,0.52226293342523,0.334665162135108,0.54632999150613,0.00319333965926194,0.783379081546945,0.222825148645892,0.65950789376858,0.471089002857008,0.372921720116902,0.90472267526051,0.128028536014492,0.498267067327616,6.25352042404881e-06,0.595669789651527,0.0188248020632094,0.0514976374349136,0.385264664184892,0.654796530317597,0.83350716255575,0.674721860796078,0.288979002944561,4.66033511781205e-08,0.545288622500524,0,0.45367583876216,0.488815554285348,0.0596005429536719,0.665900008229395,0.0093216489859721,0.39752411307859,0.303121099688593,0.00793302850131128,0.695474501394386,0,0.432680902395201,0.283076487431256,0.29177832041629,0.698667319886668,0,0.586897484115793,0.765049985284784,0.00422952115691633,0.62888074607237,0,0.246079423200695,0.162624655416478,0.626850509235723,0.695420901289569,0.819007402187187,0.378551250178455,0.930227575887541,0.791128721592325,0.00373289720401782,0.748101761579339,0,0.481864412841214,0.537491568428701,0.248936795772928,0.773253615377728,1.03568693220479e-05,0.887304954456879,0.102156461925816,0.13763599111094,0.0422634818515639,0.300575050801108,0.381327560482818,0.23428189869283,0.116506424885503,0.235735549812787,0.13831225201612,0.623029168691944,0.504529204851935,0.471019681798953,0.662420732264834,0.764922242000191,0.0658259928681768,3.08443648400214e-09,0.774918590413471,2.88657986402541e-15,0.490155822650464,0.366292922625679,0.211928903646488,0.773593983259671,7.70532530389723e-05,0.858481558336151,0.449381143881191,0.329276310121594,0.555078745667578,0.0029500113272295,0.756883065899126,0.589573614868184,0.77640176465535,0.328723514277568,0.0566551970491067,0.564411935996715
