"","ampl total power alpha","ampl total power beta","ampl total power delta","ampl total power gamma","ampl total power theta","approx entropy","betw cen e-icoh alpha","betw cen e-icoh beta","betw cen e-icoh delta","betw cen e-icoh gamma","betw cen e-icoh theta","betw cen e-plv alpha","betw cen e-plv beta","betw cen e-plv delta","betw cen e-plv gamma","betw cen e-plv theta","betw cen e-wpli alpha","betw cen e-wpli beta","betw cen e-wpli delta","betw cen e-wpli gamma","betw cen e-wpli theta","betw cen s-lcoh alpha","betw cen s-lcoh beta","betw cen s-lcoh delta","betw cen s-lcoh gamma","betw cen s-lcoh theta","betw cen s-lps alpha","betw cen s-lps beta","betw cen s-lps delta","betw cen s-lps gamma","betw cen s-lps theta","clust coef e-icoh alpha","clust coef e-icoh beta","clust coef e-icoh delta","clust coef e-icoh gamma","clust coef e-icoh theta","clust coef e-plv alpha","clust coef e-plv beta","clust coef e-plv delta","clust coef e-plv gamma","clust coef e-plv theta","clust coef e-wpli alpha","clust coef e-wpli beta","clust coef e-wpli delta","clust coef e-wpli gamma","clust coef e-wpli theta","clust coef s-lcoh alpha","clust coef s-lcoh beta","clust coef s-lcoh delta","clust coef s-lcoh gamma","clust coef s-lcoh theta","clust coef s-lps alpha","clust coef s-lps beta","clust coef s-lps delta","clust coef s-lps gamma","clust coef s-lps theta","correlation dimension","dfa exponent alpha","dfa exponent beta","dfa exponent delta","dfa exponent gamma","dfa exponent theta","higuchi fractal dim","hjorth activity","hjorth complexity","hjorth mobility","katz fractal dim","kurtosis ampl alpha","kurtosis ampl beta","kurtosis ampl delta","kurtosis ampl gamma","kurtosis ampl theta","life time alpha","life time beta","life time delta","life time gamma","life time theta","lyapunov exponent","lzc exhaustive","lzc primitive","mean ampl alpha","mean ampl beta","mean ampl delta","mean ampl gamma","mean ampl theta","microstate A","microstate B","microstate C","microstate D","microstate E","mod index alpha-beta","mod index alpha-gamma","mod index beta-gamma","mod index delta-alpha","mod index delta-beta","mod index delta-gamma","mod index delta-theta","mod index theta-alpha","mod index theta-beta","mod index theta-gamma","node str e-icoh alpha","node str e-icoh beta","node str e-icoh delta","node str e-icoh gamma","node str e-icoh theta","node str e-plv alpha","node str e-plv beta","node str e-plv delta","node str e-plv gamma","node str e-plv theta","node str e-wpli alpha","node str e-wpli beta","node str e-wpli delta","node str e-wpli gamma","node str e-wpli theta","node str s-lcoh alpha","node str s-lcoh beta","node str s-lcoh delta","node str s-lcoh gamma","node str s-lcoh theta","node str s-lps alpha","node str s-lps beta","node str s-lps delta","node str s-lps gamma","node str s-lps theta","permutation entropy","range asymmetry alpha","range asymmetry beta","range asymmetry delta","range asymmetry gamma","range asymmetry theta","range coef var alpha","range coef var beta","range coef var delta","range coef var gamma","range coef var theta","relative ampl alpha","relative ampl beta","relative ampl delta","relative ampl gamma","relative ampl theta","rqa determinism","rqa entropy","rqa laminarity","rqa max diagonal","rqa max vertical","rqa mean diagonal","rqa rte","rqa trapping time","sample entropy","skewness ampl alpha","skewness ampl beta","skewness ampl delta","skewness ampl gamma","skewness ampl theta","source ampl alpha","source ampl beta","source ampl delta","source ampl gamma","source ampl theta","spectral entropy alpha","spectral entropy beta","spectral entropy delta","spectral entropy gamma","spectral entropy theta","std ampl alpha","std ampl beta","std ampl delta","std ampl gamma","std ampl theta","waiting time alpha","waiting time beta","waiting time delta","waiting time gamma","waiting time theta"
"clust coef s-lcoh theta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.04214423149551e-12,0.687443785603074,0.524180814548114,0.914827951232845,0,0.0899672717820164,0.527695385411717,0.512063062743571,0.0286958102358132,0.255398252895715,0,8.5784493292218e-06,0,0.389862207171505,0,0,0,0.00631243240877488,0,0.720945894188379,0.00015349293341349,0.00123239854286306,2.89515427187581e-08,0.141042421124651,0,0,0.687626587907615,0,0,0,4.6402460246564e-05,0,0.0294511666381019,0,1.58320299119552e-05,0,0.0116068168754001,9.63459665381805e-08,0.405437188381503,0.00761752637234425,0.221978270218862,0.605805639787157,9.8739999332409e-07,0.000153619708589514,0.00353945922647614,0.599431154985265,0,0,0,0,0.615160147148145,8.51771759902142e-06,0.808570081751496,0,0,0.835985737602599,0.111325231175487,0.714386596479761,0,0,0.646854618647108,2.96746144159421e-05,0.685723313065076,0,0.00071830815501428,0.595563856079745,0.516635853955677,0.920007511333812,0,6.21191986738268e-12,0.709376911352414,0.55682191392431,0.929300931099443,0,0,0,9.95956650484686e-10,0.538049122815184,0.24859175196528,0,0,2.52108156573172e-09,0.000535275881812458,0.678131610435875,1.37555931090105e-08,0.00874402581552369,0,5.7956159871253e-09,0,0,0,0,0,0,7.43849426498855e-15,2.22044604925031e-16,0,0,0,0.215362467718948,0.302218401884027,0,0.663487050484517,0,0.0240743473741907,4.20774526332934e-14,2.00164542718539e-08,0.000942694096515484,0,0.037230581330109,0,1.3095778461647e-08,0,0,0,0.00102881602661919,0,0.0418261778097893,0,0.103608472249662,1.92547640511798e-05,0.471210408875354,0,0
"clust coef s-lps alpha",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.78581561860858e-06,0.0549876630789419,0.643556032731294,2.55351295663786e-14,0.786149188864253,0.166690231880456,0.133345416589335,0.54810515159329,0.348610509687133,1.56197272449532e-07,8.7960575470003e-06,0,0,3.25244275956038e-11,0,9.9245056617292e-12,0.437241187668398,0,0.000198557736403426,0.000383610165696768,0,0.132460393203,0.266982438107111,2.32398000621359e-07,0.0134333319774211,2.64073096722939e-10,0,0,0,0,1.88737914186277e-14,0.610982923360474,0,2.10728458593934e-06,2.76692158074354e-09,0,0.00102907714305589,0.000374808440169905,0,0.0115287964829234,0.743706100461168,7.64717578149998e-09,0.481998139161686,0.00873780023181847,1.96086855585031e-05,0,0,0,0,6.6844027934998e-06,0.389942637608502,0.872702733918728,0,0,0.194280970728022,0.101168625663094,0.140499871781707,0.000109324110790454,0,2.57353363952717e-07,0.575965384431307,0.565496716425259,0,0,3.03938469261578e-05,0.139125126868474,0.808203140774042,2.22044604925031e-16,0,5.94460068370495e-06,0.056033713079608,0.654295708134322,0,0,0,0,0.463976799633937,0.757456312526437,9.99673248847088e-07,9.61894922600903e-05,0.191346252791739,0.462648276912181,0.606497913779831,0.0236032767948747,0,0,0,0,1.66531369749645e-06,0,0,0,0,0,0,1.20616405752116e-10,0,0,0,7.9331293286744e-06,0,0.037169582966595,1.63994373636456e-10,0,0,0,6.42646315052176e-08,1.10801257058313e-10,0,0,0,0,6.44778594960371e-08,0,1.64313007644523e-14,2.22044604925031e-16,0.571503391157901,0,0,0.246154528150673,0.263366524492273,2.83820221813613e-06,0.0487087602806942
"clust coef s-lps beta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.275959903697146,0.0183149402887275,0.7795539213072,0.0102139240587604,0.235817846234561,0.00860858333228776,0.760868088111473,0.194447770531298,0.00686922942280321,9.89443103682763e-06,0.0123620275882206,0,0.176720717549536,0,0.75388669158043,0.00638915322969957,7.98013761904581e-06,1.41778232520817e-06,2.61303667592472e-09,0.427228142456315,0,0.403932988793819,7.12860495585277e-05,0.461971360822717,2.76263234511021e-10,0.629232599201406,0.652846268283599,0.158407409530331,0,0.174971563412868,3.36558326574643e-05,0.0549524034411843,0.300081067069739,0.666495093363009,0.238765717249161,0.7519947660377,0.416130250211723,0.552650671782897,0.000733283354229508,0.00736987649315402,0.368467533227038,0.0197939520236948,0.0208817822681888,9.2320800777479e-06,0.331662128926904,0.000464026083288216,2.22044604925031e-15,0.00033282358347908,0,0.546753439535196,0.118484729121893,0.472910937351317,0.00323280076107291,0,0.458865223575288,0.478952252303198,0.337270442265618,0.00149356198805251,0,0.407502089374695,0.366403616762239,0.570773355215213,0.178825004757498,0,0.262767214876792,4.55550639433255e-08,0.674454336078907,4.03869023335446e-07,0,0.279901388640025,0.018922150853937,0.769705377434516,0.0019242482697579,0.457308067943129,0.0029144007750399,0.823883338461822,0.351003486637742,0.115409568452201,0.547550100490556,0.277745551450433,0.603015823125777,0.645328793258575,2.31994073729425e-06,0.386220318090305,2.13998200421228e-05,5.92824145329018e-09,0.00135268988330695,0.712370939189357,0.684832897624471,0.000247113938785071,0.611914011996957,0.636717394596063,0.071613531331832,0.00200649765564842,0.656146271215585,0.571865408687577,0.0383466768689561,0.632042659902342,0.492325001399659,9.97268604696622e-07,0,0.132578524395738,0.0334580513045791,0.0272030273809021,0.00053394420149111,0.0134713359138889,0.486115335596904,0.190288569538613,0.00066027814347136,2.1212157030881e-08,0.00120430221738554,0.699010499787936,0.0263770559371012,0,0.145759868511435,2.67523972570238e-05,0.0290274032645361,0.221471518505306,0,0.275050065734942,8.60637316968393e-09,0.0653557212628706
"clust coef s-lps delta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.510269544746608,0.045659685137315,0.628427334800373,0.150227206720446,0.0138154635159464,0.00817156796698915,0.0784828604059806,0.000905766785073037,0.357076966177296,0.00208757969989648,0.813599539343091,0.0929533683681428,0.00142785420222447,0.000199509511025653,0.50792804845679,0.223604825372036,0.520718849711528,0.449909796301632,0.739090618372911,0.755319347810952,0.151489022174956,0.554199702431175,0.0233204317978972,0.507726769970819,0.117682144192571,0.102813818180094,0.0243117186907155,0.000120161312000544,2.90473465569541e-06,0.00851042697913562,0.00103663239635465,0.00395821741104574,0.0265137147669421,0.566469001938092,0.709627819064577,0.653142017258122,0.489226324642111,0.544944926715695,0.807857360053029,0.00851441221906912,0.22784770245473,0.470554607926212,0.173382234914466,0.0882417657987422,0.549860030639032,0.361135748060813,0.5095422340473,0.417008742868784,0,0.735142033229791,0.0491898914571929,0.37067820732656,0.611291751693985,0,0.0612546808520316,0.0853640975880239,0.676741821851962,0.594015889846738,0,0.735181842037884,0.0463264848761655,0.445240028828239,0.420972482265561,0,0.463235540189781,0.461673309499597,0.0973344374588613,0.212853420446696,0,0.554779877486694,0.0413566938720327,0.190170406347057,0.128042208819671,0.553233775279576,0.19457964145995,0.0862583868930062,0.206850052833578,0.262614762317595,0.285991858486269,0.108980250361518,0.355407823104095,0.109713034106743,0.770457174136429,0.535436328005501,0.836648491669465,0.149814975139529,0.0894308318191281,0.0927236590684011,0.320951608120617,0.0662801494363578,0.130516755068884,0.531966817114102,0.52657641517203,0.0288126425972293,0.163062630322131,0.0980298500193069,0.203782207148999,0.890705214427542,0.761436470449411,0.094786092099936,0.0548343709418208,0.353692029911751,0.48859162862055,0.00169639619098283,0.50981485772265,0.00181114161470575,0.764501182875363,0.502906156583451,0.837539325632321,0.119551585590379,0.10381529166116,0.02549711032846,0.000478505749085811,4.40251418787341e-06,0.00692048017010882,0.00125547652929925,0.824825137439107,0.776431137819556,3.15218373556636e-05,0.49583716804188,0.00123570225772551
"clust coef s-lps gamma",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.882525734113006,0.10236660279199,0.324295081462507,0.363038291487959,0.792622467532783,0.316470909733644,0.787088926506047,0.649487822494193,0.730484308888676,0.899984894634701,0.0608506225687888,0.69309558450656,0.598416451773758,0.559807731860372,0.740588257522027,0.0310684703854904,0.762770055482113,0.184984227711484,0.325133171851203,0.507506716730032,0.732196315393032,0.804355693488527,0.62996105982234,0.224180367913002,0.18987920565936,0.72058872757254,0.556451362789779,0.733396948293723,5.32907051820075e-15,0.78913520104148,0.178086182375782,0.232541220969702,0.309451484276781,0.000334429323018304,0.50946798971183,0.108669306347783,0.583339368688656,0.0114993580554923,0.303936468150707,0.758002336585246,0.587766602367434,0.719566347728561,0.678492091515153,0.598557522606356,0.780658956121086,0.401396043561461,0.249590229061953,0.0781322764208546,0,0.814367376612118,0.517528686750478,0.466521718087197,0.553567645689016,0,0.453852159758041,0.518893980574493,0.275504677233993,0.15504815849153,0,0.820886826132532,0.345806226703031,0.187899046527339,0.507744596755401,0,0.908164793051744,0.710095094934735,0.00375517964722083,0.545258523154653,0,0.894077087687644,0.175533875838728,0.806657938683052,0.846432635113093,0.705042336198035,0.250725942052357,0.685597309295554,0.713999320173554,0.630473701095885,0.836952400359775,0.768892749709207,0.797268850930211,0.718945183609009,0.816330648993664,0.743672354488862,5.4238005731122e-07,0.849519512344936,0.204381690780731,0.343152875711743,0.0285543054136677,0.162211570878488,0.2615757989412,0.470764429970199,0.298184773244374,0.0980974864266113,0.0362346051757191,0.814609243321334,0.635603116464027,0.682956090355246,0.506601744981777,0.796911249176643,0.094257241687511,3.74377195910824e-11,0.762401942037241,0,0.308540997972039,0.857918979790549,0.778776003488986,0.742207298102033,6.1878290591455e-06,0.823669183810974,0.747850101101233,0.657809834788934,0.758441782160397,2.00506278247303e-13,0.766754810645553,0.130303396777848,0.221396705201932,0.574519934071623,0.740812631294803,0.752812102524364
"clust coef s-lps theta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01179942330428,0.546079580623523,0.512634829252391,0.0558298010047434,0.502708160973159,0,0.00745111909978968,0,0.165586552583139,0,0,0,3.07160789514427e-06,0,0.735503220144489,0.00515636883326875,0.0086361111994232,2.55351295663786e-14,0.230458580057855,0,3.76919007116783e-09,0.676190881207336,0,0,0,1.59272595112725e-10,0,0.000410843627889901,0,8.00674424872305e-07,0,5.09476637335915e-05,3.26257221239246e-09,0.60274962328053,6.24937213089538e-10,0.0918787527913383,0.645547245731227,0,8.75817196543949e-11,4.04885251683584e-05,0.473024400620703,0,0,0,0,0.525569408638568,5.55111512312578e-16,0.553752809033304,0,0,0.106577426436309,0.0907939826989981,0.0207875442422899,0,0,0.518310755607722,4.44089209850063e-16,0.256399394497356,0,1.37368292155715e-05,0.521081298533388,0.171324967490476,0.794367782994404,0,4.78506123613442e-14,0.748876199347132,0.0498998372596815,0.902532753214769,0,0,0,0,0.579746706760365,0.108949543836505,0,0,0,0.00194083381669952,0.303615253552589,0.00862279674862543,0.000208566034325286,0,1.31694959382145e-08,0,0,0,0,0,0,1.06581410364015e-14,0,0,0,0,0.232581057556193,0.216296211649359,0,0.609438385568712,0,0.000179575335485405,0,1.76871742585405e-07,3.26880738110713e-06,0,0.0120001482027721,0,1.494405832414e-08,0,0,0,6.47598443759279e-08,0,0.000530902254119336,0,0.0980905814486492,5.04559203085009e-07,0.450746014572314,0,0
"correlation dimension",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.297228751274585,0.185196305539957,0.0833195043416166,0.381101831400813,7.78848848748126e-07,0.0352794130653203,0.0114853032825686,0.378646705315961,0,0.200239622621678,5.99520433297585e-15,1.34290076825305e-06,0.180499074725215,0.232099071781273,0.744476785157153,0.211196009264389,2.23702861790187e-08,0.630915068074569,0.0250065122106676,0.221476878618328,0.226274736823965,0,0,0.00777258207130227,0.707609988270742,0.131276521641628,0.923864843164213,0.00039024280841915,0.192209678882658,0.0648611580011604,0.00211504721363087,0.0217942701980173,0.127121880447555,0.0021580320985336,0.539113947973162,0.0967217858597096,6.46888320687822e-10,0.199024689920828,0.867463695247633,0.77440110608001,2.26243507928103e-07,0.140306520935233,0.0559932014824137,0.0921090565906066,0.0415365019425429,0.173489483899354,0.0216715675762388,0.000740006216587985,0.0775101057019858,0.430977727552867,0.851969976532706,0.0824558441895438,0.151911079423646,0.0411130208299898,0.024971974761367,0.395632655459096,0.0247886355158126,0.000415531041907169,0.0277234328501168,0.00382715220550045,0.686575649349163,0.0540981477516371,0.105503162916651,0.750642207697536,0.00886214551506725,0.676791918459296,0.123010751132128,0.00937264734053922,9.90234516828892e-07,0.000116760380605818,0.21685349199209,0.298672814463102,0.410516885549444,3.24339007007346e-06,0.0126232760418913,0.0419742800129501,0.363689826618161,0.0641349705616869,0.371403685533431,0.000515057966739008,0,0.266564229693264,3.49474245098236e-07,0.209855842058876,1.01030295240889e-14,1.33857054405162e-05,1.0991207943789e-14,2.13691286887752e-11,6.60840787436445e-05,5.27283418613189e-05,0.0842074238436182,4.16185251836954e-05,3.98982981097973e-08,0.40750046997034,0.167142457215071,0.0628549502787945,0.0949126956751872,0.0592029644016052,0.122831129774352,4.51224507713732e-06,0.69509100852355,0.0310769788249203,0.412356249717507,0.0750095822308011,0,0.238910819799827,2.05601847769188e-07,0.292016027827722,0.0512627652701807,0.76770328976589,0.106060841206448,0.930593095950369,0.00113771903897919,0.0478853463745079,0.010724674494499,0.592583748643795,0.00357149000993862,0.247020844027216
"dfa exponent alpha",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.144793007257319,0.0193622244848028,0.000686818421492097,0.354277005425299,0.00367693524272728,0.493862925433462,2.37528441360269e-10,2.89384849416763e-10,0,0.028833164310456,0,2.3346546917935e-11,1.26153210766589e-06,0.0112049296998289,0.742198556048745,0,0.000917732948575223,0.000657967319924513,0.0222682452187419,0.125845660396276,0.47079687625953,0.512974003583293,0.17781359867172,0.23361487512541,0.369134332610288,4.5952425353768e-07,0.129060210271991,0.571200776029644,0,5.96200866453955e-12,0,0.458875594081591,9.05407694915539e-05,3.17957262296886e-06,0.144806842409833,0.160727009747715,0.0738615372145328,0.19123144624701,1.84142283643496e-07,0.0242939833534073,0.0696590753227537,0.433528685564633,0.496927212400713,0.00776790850458919,0.493747544631921,0.636258057987911,0.742980655644182,0.23756343397898,1.36826298069437e-07,0.195643423998262,0.121071650228906,0.441587833884882,0.483428111902575,1.46750283036567e-08,0.351610942222253,0.25688642516102,0.364134887893602,0.48946018439615,0.172557193386506,0.30625171745075,0.135058933311846,0.372315996148537,0.508843189176026,0.00213738574477651,0.00123279797287479,0.123026452569516,1.72357116356991e-08,0.405045350586029,0.0189510957286625,0,0,0,5.1650472914222e-06,0,9.21347203602929e-05,0.024381478219591,0.000240880678696098,0.00450684562781012,0.0234496817213565,0.000120124871498595,7.19225790035694e-11,0.00490132407857291,1.00664994118205e-08,1.55933932433072e-10,1.23642884819475e-09,0.206305596732186,8.09694536973993e-05,6.60277213127003e-07,0.0255280551992871,0.120912603741362,6.26622975101743e-05,0.137163523193448,0.584146441667574,1.52244883366848e-11,0.00153364437081649,0.14239804511632,0.0696597072367695,0.000230048622334333,0.00269501632621627,0.0284311952095071,0.000145590065855572,0.00256986302756346,0.0168599256275022,0.00684663423673815,0.0501864440493808,0.398577480454438,0.403566042525545,0.127847499638527,0,0,5.1487676744344e-07,2.25339835679961e-09,0.30015568532615
"dfa exponent beta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.202163382426886,1.32945617292712e-07,3.1174124170974e-08,0.0854352957351657,1.90470528238507e-10,0.218627546105801,0,0,0,0.000432391678334421,0,0,0,2.01370619046237e-05,0.592944469467214,0,2.00919039849978e-07,1.11744083208798e-07,7.07758558715632e-06,1.57456838234538e-06,0.000372080536827246,0.265692652520718,0.00072599554769015,0.00925303301541436,0.182952594394378,3.1863400806742e-13,0.00990533618029732,0.682895957817364,0,0,0,0.419164489924711,1.5788148566287e-11,2.92776115351501e-07,0.152643681356365,0.351553135274352,0.188361582632796,0.195029011490519,7.38531780175578e-08,8.77864534398753e-08,1.62676680632856e-05,0.229329348764703,0.622539449640207,0.0010702221387493,0.180200620589661,0.212180333915962,0.512908448420889,0.0400387891940441,2.42762154378795e-07,0.000251521631015494,0.000142806265060358,0.290496664529063,0.658731669323319,1.14769565850992e-07,0.0174952321640223,0.0623877754083826,0.348679462418632,0.583341313427345,0.151281921387522,0.0125404511332601,0.0122258792290847,0.450294905942771,0.538561033575777,9.18901241098169e-07,1.31675124137587e-08,0.00639153473121512,0,0.413405802049472,0.00500889676918892,0,0,0,9.54791801177635e-15,0,0.000514570084374277,0.0159269810643239,9.10553005253334e-05,1.54119176998258e-06,0.203701373012681,1.24751031727044e-09,0,3.26196673228196e-06,0,0,0,0.223859395230482,1.42019207505228e-09,0,0.345125036214416,0.166094336311982,3.72257780156815e-13,0.0014339637697367,0.759074749283375,1.0660644589322e-09,0.00164490163546405,0.0181982443175019,0.0282008461818248,0.000113607260124771,0.0443667685188164,0.010877569371004,5.63482289197559e-05,3.84057851299247e-07,0.16979227458812,6.56220837669252e-08,2.06785888412497e-09,0.000124080028982565,0.141074741956883,0.000246443449417599,0,0,0,0,0.0274445760059234
"dfa exponent delta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000112777832752431,0,0.130449588181319,7.11652958784725e-14,0,0.0394211999256688,8.02691246803988e-13,0,0,1.21775007855263e-08,0.265922251271482,0.187610754631915,0,0.00314201829800465,0,1.13375975274721e-12,0,0,0,1.60760293965723e-13,0,4.38088454401964e-11,0,0.110745772372453,4.94914897507526e-05,0.0232113041974458,0.213097110898239,0.763069955060721,1.20770282663329e-10,1.8884904591232e-06,3.89664522870703e-10,0.224863906790767,0.105576960999749,0.325114097551516,0.152717671405017,0.0406361526720438,0.0202812850761575,0.0552000270551756,0.0289584467253625,0.364189882240415,0.218822495034518,0.659862295802079,2.33346675315715e-12,0.241317638196248,0.630160611054655,0.115534684766294,0.0146054684704312,2.34029835510796e-08,0.0688304312971071,0.457393772829215,0.169855114720465,0.78406696942628,2.10695105806735e-09,0.199041943209527,0.502594228566775,0.0562690061193505,0.834259533932531,0.0529272943012048,0.499324345146213,0.813724799114796,0.0050938836590273,0.808760650555089,0.0769008113631537,2.76241340912975e-09,3.44395623130822e-11,0.000628531592203108,0,0.366397441375083,4.70498084936821e-11,1.03995700939663e-11,0,0,0.00615256520066509,0,0.145774971306089,5.80876601874447e-06,0.0906302100832987,1.0449419107772e-11,0.000127404380442231,0,1.02462482942656e-12,0,0,0,5.89477466839128e-10,0.000650327383385774,0,0,0.0703813139790466,0.466870794121517,0,0.00011617047477086,0.10565352898751,0.00257228725934655,6.82819152342251e-06,0.0180023243566383,0.00183968220251784,0,0.326913105882209,2.44047594732955e-06,0.0775665248698592,5.13145081981747e-13,0.000244385391177548,0,1.11022302462516e-16,0,2.22710738739806e-13,0,0.0893823097572296,0.00162666798301458,0,0.00146999538713377,0
"dfa exponent gamma",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.99200722162641e-16,0.334109524865364,0.00308144051631254,0.121238653390614,0.0646270655757184,0.00112043427236785,0.236504696341322,0.000574781148065195,2.66453525910038e-15,2.22044604925031e-16,0.0899145389839728,0.00414526718253905,8.50070200009156e-07,4.21884749357559e-15,0.25607063380936,0.214314361120419,1.13020703906841e-11,0.0159448944116047,0.0167593284926961,0.0380295954939774,0.0216230413545523,3.0680669009242e-05,0.100963071648173,0.00140968312465772,0.00975715385987619,0.691828053660852,0.0162870728387987,0.432834017971714,0.810766749856597,0.00100771664293098,0,2.14936068942961e-10,0.700421914902765,0.0213617888331752,0.0527428408959248,0.562793701661091,0.615337400213134,0.185126098579861,0.422922317422343,0.457859419272563,0.0790206886803513,6.26719365451889e-05,1.33340791386161e-06,0.651408718193316,0.53812309443197,0.497517692504683,0.264292328665135,0.0251840415831251,0.00571975632736421,0.531277978673395,0.325123446093173,0.000848554047766403,0.0188678383553137,0.641823165578386,0.32774927442621,0.274236632703827,0.300060208343641,0.365817741521227,0.430671846597755,0.368217008381788,0.221330428442165,0.0971157287734409,0.400374505555521,0.574863465214529,0.0144031144537522,0.00246195710443287,0.169399071840355,1.02140518265514e-14,2.50055531836324e-12,0.229395638141254,9.9638963746429e-10,0,0,0,2.98272259935395e-06,0.533117629245674,0.266893686096643,0.468935958350659,0.00028576801168656,0.436211986504154,0.0014835756044016,0.000158995050271615,0.0022224268442641,2.20154845564924e-06,5.74855079489289e-05,0.000929729459413497,0.210623425875579,2.46579897669186e-05,7.09504455598253e-06,0.668856173503589,0.759166316777491,0.000864163864847001,1.24027454972975e-11,0.525279384601969,0.300573516406986,0.0464051626960479,0.203013418236428,0.000443333357414755,0.0483824753208933,0.656091416176603,0.210849287699546,0.449831322201451,0.000273258315818703,0.477704939253324,0.0114418760769224,0.00623775380817304,2.13363448527959e-05,0.0722783010630315,0.00120423218390731,0.0029938180465745,0,0,0.0010051814420724,0.00178895733045725
"dfa exponent theta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00242127380012536,0,1.11022302462516e-16,0,0,0,0.319766777993366,0,1.26938640598873e-07,0,3.48060058552591e-09,1.4210854715202e-14,0,4.26109535878183e-07,2.73114864057789e-13,2.90878432451791e-14,0,0,0,0,0,9.69313962428942e-10,0,2.71463740375566e-10,0.000191396607257976,0,0,0.0363411151523613,2.57627252864268e-12,0,0.00854088817388488,0,0.326552800611264,0.280781571733499,1.11022302462516e-14,0,0,0,0,0.00105671667282903,0.0316638265695321,0.625948280686167,0,0,0.169016803153114,0.0767335881695669,0.296634706306265,0,0,0.0229429327957555,0.0157288336329635,0.411470655302864,0,1.4654668589742e-09,0.0319050944002299,0.00128947979711669,0.770232817890151,0,5.70525008791734e-07,0.0178907674166779,0.000848233988702152,0.819471822371278,0,0,0,4.55657733766657e-12,0,0.421124939883701,0,4.81836792687318e-14,0.167247262302185,0,0.480213502344568,0,0,0,0,0,0.0106113460874462,0,0,0,0,0,0,0,0,0,0.264214371608878,4.98133922999244e-09,0,2.73428559819378e-05,0,0,0,0,0,0,0,0,0,0,0.0344295177267449,0,0,0,5.62796031999824e-10,0,0,0.0167565487962673,0,6.57012222404774e-11,0
