mat,csv
SE_Gamma,spectral entropy gamma
SE_Theta,spectral entropy theta
slor_alpha,source ampl alpha
slor_beta,source ampl beta
slor_delta,source ampl delta
slor_gamma,source ampl gamma
slor_theta,source ampl theta
Theta,relative ampl theta
waitingtime_alpha,waiting time alpha
waitingtime_beta,waiting time beta
waitingtime_delta,waiting time delta
waitingtime_gamma,waiting time gamma
waitingtime_theta,waiting time theta
WPLIalpha_betweennesscentrality,betw cen e-wpli alpha
WPLIalpha_clusteringcoefficient,clust coef e-wpli alpha
WPLIalpha_nodestrength,node str e-wpli alpha
WPLIbeta_betweennesscentrality,betw cen e-wpli beta
WPLIbeta_clusteringcoefficient,clust coef e-wpli beta
WPLIbeta_nodestrength,node str e-wpli beta
WPLIdelta_betweennesscentrality,betw cen e-wpli delta
WPLIdelta_clusteringcoefficient,clust coef e-wpli delta
WPLIdelta_nodestrength,node str e-wpli delta
WPLIgamma_betweennesscentrality,betw cen e-wpli gamma
WPLIgamma_clusteringcoefficient,clust coef e-wpli gamma
WPLIgamma_nodestrength,node str e-wpli gamma
WPLItheta_betweennesscentrality,betw cen e-wpli theta
WPLItheta_clusteringcoefficient,clust coef e-wpli theta
WPLItheta_nodestrength,node str e-wpli theta
