,25th,50th,75th
node str e-plv delta,0.19659819713314616,0.2980936899660115,0.3806147480419684
node str e-plv gamma,-0.010664991872321563,0.04281661001921088,0.10953155016994238
node str e-plv theta,0.32311955076104626,0.4513225949460618,0.5053760898477908
node str e-wpli alpha,0.7039899512339295,0.7393276193290971,0.8055312546179991
node str e-wpli beta,0.6373858430619181,0.7099837446431211,0.7804773163883553
node str e-wpli delta,0.4751869366041082,0.5419432540268952,0.5971597458253288
node str e-wpli gamma,0.6112620067976947,0.6485577065169204,0.6735850450716714
node str e-wpli theta,0.6714615043593911,0.714414068272499,0.7717304566277523
permutation entropy,0.9759154721442295,0.9812974730308852,0.9840017733116596
range asymmetry alpha,0.8574331313728388,0.896312989507906,0.9241392049652728
range asymmetry beta,0.7416698684793852,0.7752504802719078,0.8337535096793263
range asymmetry delta,0.7052918575439634,0.7419890645780995,0.767916358800059
range asymmetry gamma,0.6569809368996602,0.7328387764149549,0.7730042855031771
range asymmetry theta,0.7618752770799467,0.8004344613565834,0.8280035466233191
range coef var alpha,0.9592891975764741,0.966246490320674,0.9809575882961431
range coef var beta,0.964059405940594,0.9700073887985814,0.9780552682133885
range coef var delta,0.9340608837003103,0.9430973843653023,0.9550022166395744
range coef var gamma,0.891963942662923,0.9211689079355697,0.937001625535688
range coef var theta,0.9602142751588593,0.9688325698241466,0.9737594207181913
relative ampl alpha,0.9738170533471256,0.9808438007979903,0.9890143342692479
relative ampl beta,0.9873873208216345,0.9899009900990099,0.9913418058223733
relative ampl delta,0.9764592877198167,0.9816536131225063,0.9888665582976208
relative ampl gamma,0.9768848825181026,0.9820910299985223,0.986821338850303
relative ampl theta,0.9755135215014039,0.9815679030589627,0.9888576917393233
rqa determinism,0.9790778779370475,0.9844125905127827,0.9879237475986404
rqa entropy,0.9611363972218118,0.9664755430766958,0.9767976946948427
rqa laminarity,0.9832466380966455,0.9869292153095907,0.9904566277523275
rqa max diagonal,0.9744864784985963,0.9775956849416285,0.9823333825919905
rqa max vertical,0.946487365154426,0.9515427811437861,0.9593719521205852
rqa mean diagonal,0.9615575587409488,0.9668834047583864,0.9803457957736071
rqa rte,0.9632939264075662,0.9685857839515295,0.9741140830500961
rqa trapping time,0.9787394709620216,0.9818043446135658,0.9845204669720703
sample entropy,0.9748544406679474,0.9789079355696765,0.9840800945766219
skewness ampl alpha,0.8647362198906459,0.8976267178956702,0.9219861090586671
skewness ampl beta,0.8977996157824737,0.9204108172011232,0.9473503768287277
skewness ampl delta,0.7932392492980642,0.8313107728683318,0.8779444362346683
skewness ampl gamma,0.9238007979902468,0.9418398108467564,0.9491340328062657
skewness ampl theta,0.8613166839071967,0.9005807595684943,0.9245766218412887
spectral entropy alpha,0.9759184276636619,0.9836352889020246,0.9905837150879266
spectral entropy beta,0.987181912221073,0.9901462982119107,0.9913255504654944
spectral entropy delta,0.9761992020097534,0.9808748337520319,0.9893778631594503
spectral entropy gamma,0.9761400916211024,0.9816181468893159,0.9867710950199499
spectral entropy theta,0.9747125757351855,0.9822521058075957,0.9878365597753807
std ampl alpha,0.9806383921974288,0.9856095758829615,0.9925417467119847
std ampl beta,0.9858105512043743,0.9901655090882222,0.9931771833899808
std ampl delta,0.9765848972956997,0.9827634106694253,0.9884040195064282
std ampl gamma,0.9738894635732231,0.9785414511600414,0.9823599822668835
std ampl theta,0.9844776119402986,0.990601448204522,0.9926318900546772
waiting time alpha,0.9540116972200635,0.9625974077797659,0.9778535049215872
waiting time beta,0.939671937342988,0.9555046220663678,0.9703853149052366
waiting time delta,0.6031577201265074,0.6492774611857577,0.6909902274806966
waiting time gamma,0.9539777427138758,0.9610166986847938,0.9684867740505393
waiting time theta,0.887024727105616,0.9038378627416924,0.9203236455912763
