,25th,50th,75th
ampl total power alpha,0.9856470814132106,0.9901113671274963,0.993423579109063
ampl total power beta,0.9877592165898618,0.9914554531490017,0.9937115975422428
ampl total power delta,0.9746063748079877,0.9776785714285716,0.9821908602150539
ampl total power gamma,0.9746543778801845,0.9814228110599079,0.9856470814132106
ampl total power theta,0.9825748847926268,0.9882872503840247,0.9921274961597544
approx entropy,0.9721102150537635,0.9776785714285716,0.9809427803379417
betw cen e-icoh alpha,0.13006585488695793,0.23122618823678415,0.3432978927220441
betw cen e-icoh beta,0.14809284409863535,0.20160450307928338,0.3204276081540842
betw cen e-icoh delta,0.13101898817782734,0.22497869668019155,0.3097311152772449
betw cen e-icoh gamma,0.10985767300148114,0.20838602529667882,0.3156203087715766
betw cen e-icoh theta,0.13892351899835959,0.22643863403893233,0.3351053937044354
betw cen e-plv alpha,0.16024246815443213,0.29097559629426645,0.3844921197919489
betw cen e-plv beta,0.003174985099181503,0.0995649475576389,0.19736706285651684
betw cen e-plv delta,0.08960972844377336,0.18649635754298644,0.2816034584867154
betw cen e-plv gamma,-0.01456457021555407,0.09250065975136698,0.17662007718213396
betw cen e-plv theta,0.08635229022577813,0.22415164263996287,0.31614831640551316
betw cen e-wpli alpha,0.09294063325080817,0.15457173945212527,0.2896062247883992
betw cen e-wpli beta,0.10126605322178804,0.22399534627897458,0.3521141765437239
betw cen e-wpli delta,0.08532713723751428,0.18729224105172576,0.24462342724302671
betw cen e-wpli gamma,0.13868103333748832,0.23124136530961437,0.3146189916532425
betw cen e-wpli theta,0.10282133203444457,0.20289083909354097,0.2819985857973551
clust coef e-icoh alpha,0.7616167434715823,0.799347158218126,0.8472542242703534
clust coef e-icoh beta,0.6947004608294931,0.73267089093702,0.770113287250384
clust coef e-icoh delta,0.6053667434715823,0.6522177419354839,0.6785714285714286
clust coef e-icoh gamma,0.5886136712749617,0.6374807987711214,0.6995007680491553
clust coef e-icoh theta,0.7431355606758833,0.7718413978494624,0.8155721966205837
clust coef e-plv alpha,0.7491839477726575,0.8083237327188939,0.8688076036866361
clust coef e-plv beta,0.39093701996927804,0.4924155145929339,0.5561635944700462
clust coef e-plv delta,0.45430107526881724,0.4977918586789555,0.5594758064516129
clust coef e-plv gamma,0.06614823348694317,0.13527265745007683,0.18207565284178187
clust coef e-plv theta,0.5417626728110599,0.6133832565284179,0.672715053763441
clust coef e-wpli alpha,0.8267089093701997,0.8552227342549924,0.8923291090629801
clust coef e-wpli beta,0.7458717357910907,0.7804339477726574,0.8069796466973886
clust coef e-wpli delta,0.5733006912442397,0.6274481566820277,0.6706509216589862
clust coef e-wpli gamma,0.6317204301075269,0.6731950844854071,0.7272945468509985
clust coef e-wpli theta,0.7664650537634409,0.7956509216589861,0.8485983102918587
correlation dimension,-0.04651497695852535,0.021553379416282645,0.08400537634408603
dfa exponent alpha,0.9647177419354838,0.9728302611367129,0.9842549923195084
dfa exponent beta,0.9728782642089094,0.9830069124423962,0.9905433947772657
dfa exponent delta,0.9426363287250384,0.9534370199692781,0.9616455453149003
dfa exponent gamma,0.9702380952380952,0.9761904761904764,0.9801267281105992
dfa exponent theta,0.9627496159754225,0.9762864823348694,0.9846870199692782
higuchi fractal dim,0.9804627496159755,0.9857910906298002,0.9904473886328725
hjorth activity,0.9839669738863287,0.988479262672811,0.9924635176651306
hjorth complexity,0.9798387096774194,0.9851190476190477,0.9881912442396314
hjorth mobility,0.9810867895545315,0.9865591397849464,0.9889592933947773
katz fractal dim,0.9831029185867897,0.9879512288786484,0.990399385560676
kurtosis ampl alpha,0.9315476190476192,0.9557891705069125,0.9741743471582183
kurtosis ampl beta,0.9166186635944701,0.9395641321044548,0.9595814132104457
kurtosis ampl delta,0.9061539938556067,0.9280913978494624,0.943932411674347
kurtosis ampl gamma,0.8908410138248848,0.9074020737327189,0.9204589093701997
kurtosis ampl theta,0.92017089093702,0.9341397849462365,0.955837173579109
life time alpha,0.9592933947772658,0.9679339477726575,0.9795986943164363
life time beta,0.95838133640553,0.9720142089093702,0.9822388632872503
life time delta,0.731857185771276,0.7665554568802054,0.8124812481833228
life time gamma,0.9477246543778802,0.9582373271889401,0.9652937788018433
life time theta,0.9160906298003074,0.9339589809498023,0.9481566820276499
lyapunov exponent,0.9341877880184332,0.9522369431643625,0.9603974654377881
lzc exhaustive,0.9731662826420893,0.9810867895545315,0.9845430107526882
lzc primitive,0.9715341781874041,0.9779185867895547,0.9853110599078342
mean ampl alpha,0.9856470814132106,0.9901113671274963,0.993423579109063
mean ampl beta,0.9877592165898618,0.9914554531490017,0.9937115975422428
mean ampl delta,0.9750384024577574,0.9778225806451614,0.9825748847926268
mean ampl gamma,0.9746543778801845,0.9814228110599079,0.9856470814132106
mean ampl theta,0.9825748847926268,0.9882872503840247,0.9921274961597544
microstate A,0.9630616359447005,0.9787704170762714,0.9814644773809202
microstate B,0.9672379032258065,0.9760704685099848,0.9814796704478901
microstate C,0.6959609680370346,0.7116737715637845,0.7279065860215055
microstate D,0.5808371735791091,0.6028163898414138,0.6252667314595093
microstate E,0.7237980855214483,0.7399490195399034,0.7562291304243517
mod index alpha-beta,0.7460157450076805,0.7990111367127496,0.8381816436251921
mod index alpha-gamma,0.644729262672811,0.6835637480798771,0.7427035330261136
mod index beta-gamma,0.3584389400921659,0.455213133640553,0.5027361751152074
mod index delta-alpha,0.8637672811059907,0.8908410138248848,0.9207949308755761
mod index delta-beta,0.766705069124424,0.8239727342549924,0.8496543778801845
mod index delta-gamma,0.729502688172043,0.7636328725038403,0.8035714285714286
mod index delta-theta,0.8254608294930876,0.8604070660522273,0.8922811059907836
mod index theta-alpha,0.95468509984639,0.9644297235023042,0.9722062211981566
mod index theta-beta,0.9047139016897082,0.9199308755760368,0.9334677419354839
mod index theta-gamma,0.884600614439324,0.9056739631336406,0.9183947772657449
node str e-icoh alpha,0.7094374039938557,0.7594086021505377,0.8296370967741936
node str e-icoh beta,0.6155913978494625,0.6835157450076805,0.7343029953917052
node str e-icoh delta,0.5321140552995391,0.5791090629800306,0.6191436251920124
node str e-icoh gamma,0.5423387096774194,0.5880856374807989,0.6630184331797235
node str e-icoh theta,0.6516417050691244,0.7225422427035331,0.7834101382488479
node str e-plv alpha,0.5782930107526882,0.6907162058371736,0.7718413978494624
node str e-plv beta,0.3026593701996928,0.3539266513056836,0.44935675883256526
node str e-plv delta,0.34322196620583717,0.40663402457757303,0.4761904761904763
node str e-plv gamma,0.03259408602150538,0.0867415514592934,0.1634504608294931
node str e-plv theta,0.3654473886328725,0.4974558371735791,0.5776689708141322
node str e-wpli alpha,0.7679051459293394,0.796322964669739,0.8650153609831029
node str e-wpli beta,0.6696908602150538,0.7317108294930875,0.782258064516129
node str e-wpli delta,0.5265937019969279,0.5757008448540708,0.6120871735791091
node str e-wpli gamma,0.5842933947772657,0.650057603686636,0.7022369431643626
node str e-wpli theta,0.7016129032258066,0.7517761136712751,0.8209965437788019
permutation entropy,0.9822868663594471,0.9853110599078342,0.9886712749615977
range asymmetry alpha,0.8419738863287249,0.8720238095238095,0.9182507680491552
range asymmetry beta,0.7339189708141322,0.780241935483871,0.8145161290322582
range asymmetry delta,0.7548483102918587,0.799731182795699,0.8572388632872503
range asymmetry gamma,0.6734831029185868,0.7294066820276498,0.8098118279569891
range asymmetry theta,0.7755856374807988,0.8286770353302613,0.8621831797235023
range coef var alpha,0.9510368663594472,0.9624135944700463,0.9787826420890937
