id,Gender,Group,Age
sub-010002,1,2,67.5
sub-010003,1,1,22.5
sub-010004,1,2,67.5
sub-010005,2,1,27.5
sub-010006,1,2,67.5
sub-010007,1,2,67.5
sub-010010,2,1,27.5
sub-010012,1,2,62.5
sub-010016,1,1,27.5
sub-010017,2,1,22.5
sub-010019,1,1,22.5
sub-010020,2,1,22.5
sub-010021,1,1,27.5
sub-010022,2,1,22.5
sub-010023,1,1,27.5
sub-010024,2,1,22.5
sub-010026,2,2,62.5
sub-010027,2,1,22.5
sub-010028,1,1,27.5
sub-010029,1,1,32.5
sub-010030,2,1,22.5
sub-010031,1,1,22.5
sub-010032,1,1,22.5
sub-010033,1,1,22.5
sub-010034,2,1,27.5
sub-010035,1,1,27.5
sub-010036,1,1,32.5
sub-010037,1,2,67.5
sub-010038,1,1,27.5
sub-010039,2,2,72.5
sub-010040,1,1,22.5
sub-010041,2,2,72.5
sub-010042,1,1,32.5
sub-010044,1,2,67.5
sub-010045,1,2,67.5
sub-010046,2,2,67.5
sub-010047,1,2,77.5
sub-010048,1,2,67.5
sub-010049,1,2,72.5
sub-010050,1,2,62.5
sub-010051,2,2,67.5
sub-010052,2,1,27.5
sub-010053,2,1,22.5
sub-010056,2,1,22.5
sub-010059,2,2,77.5
sub-010060,2,1,32.5
sub-010061,2,1,27.5
sub-010062,1,1,27.5
sub-010063,2,1,22.5
sub-010064,1,1,22.5
sub-010065,2,1,22.5
sub-010066,2,1,27.5
sub-010067,2,1,22.5
sub-010068,1,1,27.5
sub-010069,2,1,22.5
sub-010070,2,1,22.5
sub-010071,2,1,27.5
sub-010072,2,1,27.5
sub-010073,2,1,22.5
sub-010074,2,1,32.5
sub-010075,1,1,22.5
sub-010076,1,1,27.5
sub-010079,1,1,27.5
sub-010080,1,1,32.5
sub-010081,2,2,62.5
sub-010083,1,1,22.5
sub-010084,1,1,22.5
sub-010085,2,2,72.5
sub-010086,1,2,67.5
sub-010088,2,2,67.5
sub-010089,2,2,62.5
sub-010090,1,2,67.5
sub-010091,2,2,57.5
sub-010092,2,2,72.5
sub-010093,1,2,72.5
sub-010094,1,1,32.5
