id,ampl total power alpha,ampl total power beta,ampl total power delta,ampl total power gamma,ampl total power theta,approx entropy,betw cen e-icoh alpha,betw cen e-icoh delta,betw cen e-plv alpha,betw cen e-plv beta,betw cen e-plv delta,betw cen s-lcoh alpha,betw cen s-lps beta,betw cen s-lps delta,betw cen s-lps theta,clust coef e-icoh delta,clust coef e-plv beta,clust coef e-plv delta,clust coef e-wpli delta,clust coef s-lcoh alpha,clust coef s-lps alpha,clust coef s-lps theta,correlation dimension,dfa exponent delta,higuchi fractal dim,hjorth activity,hjorth complexity,hjorth mobility,katz fractal dim,kurtosis ampl beta,kurtosis ampl delta,kurtosis ampl gamma,kurtosis ampl theta,life time alpha,life time beta,life time delta,life time gamma,lyapunov exponent,lzc exhaustive,lzc primitive,mean ampl alpha,mean ampl beta,mean ampl delta,mean ampl gamma,mean ampl theta,microstate A,microstate B,microstate C,microstate D,microstate E,mod index alpha-beta,mod index beta-gamma,mod index delta-alpha,mod index delta-beta,mod index delta-theta,mod index theta-beta,mod index theta-gamma,node str e-icoh delta,node str e-plv alpha,node str e-plv beta,node str e-plv delta,node str e-plv gamma,node str e-wpli delta,node str s-lcoh alpha,node str s-lps alpha,node str s-lps theta,permutation entropy,range asymmetry alpha,range asymmetry beta,range asymmetry delta,range asymmetry gamma,range coef var beta,range coef var delta,range coef var gamma,range coef var theta,relative ampl beta,relative ampl delta,relative ampl gamma,relative ampl theta,rqa determinism,rqa entropy,rqa laminarity,rqa max diagonal,rqa max vertical,rqa mean diagonal,rqa rte,rqa trapping time,sample entropy,skewness ampl alpha,skewness ampl beta,skewness ampl delta,source ampl alpha,source ampl beta,source ampl delta,source ampl gamma,source ampl theta,spectral entropy beta,spectral entropy delta,spectral entropy gamma,spectral entropy theta,std ampl alpha,std ampl beta,std ampl delta,std ampl gamma,std ampl theta,waiting time beta,waiting time delta,waiting time gamma
sub-010002,14.9057461248958,18.6741898042001,2.78528089528012,2.00057914354391,3.72367860565157,0.600300474689274,0,4,0,68,0,0,0,10,26,0.0679280369845222,0.179038588067395,0.194929574086028,0.0214255790287021,0.0130478264987296,0.0062128772782559,0.0028309400557223,2.91580774250366,0.586291378444076,1.94346480553843,29.2172145170781,1.31290646658987,0.775045475558655,1.23615275963955,3.09877467202334,3.11769526332155,2.96685747485432,3.16259293346341,615.6,255.708333333333,1007.625,127.948913043478,23.9424817872774,0.848061560896246,2.44550623168975,29.8113497051373,37.3483004564417,5.5364593303438,4.0011564812853,7.44704027005006,88.525912,79.826472,1.53,63.646808,1.6423,0.0010659477446703,0.0012230347045497,0.0044999191544603,0.0049967416462921,0.0040169179664039,0.0015587801305687,0.0015004484838568,4.42397510805434,13.3607951419755,12.6794508107997,13.512910985478,9.23392704884559,1.75814258682335,1.4088032553,0.5918056149,0.2466844294,0.804437389688875,0.261471045118735,0.224598361411453,0.260126683080683,0.252267905962856,0.221056444237944,0.281377221837042,0.202429930856553,0.418263562284687,1.4957290675999,0.666383581104727,0.0596123055175829,0.945230590599539,0.522171965259435,1.17009531665393,0.636423028052025,27.9894163716345,16.6325748478257,2.91862200992635,0.59455734559658,2.73702795114789,2.34925971861649,0.0071084964993117,0.0348322720344743,0.2253276600755,1.603376,2.049122,0.08042055,0.9182146,0.2090075,0.555970268831547,0.0912829557035961,0.0361598926488976,0.144639480622343,30.1569916071973,37.8756570469253,5.41730648516619,3.88699452604904,7.3115596466621,287.241666666667,1143.75,151.210606060606
sub-010004,8.37783582817482,4.1374163271492,2.60089718395492,0.505836009297577,6.34416538401842,0.675328444474701,2,32,26,98,2,0,444,2,0,0.0612377427816087,0.160779706880791,0.170465948062487,0.0128296411471316,0.0056497672056706,0.0049275086034644,0.0050583114073361,2.94992469650173,0.692670388020732,1.83472002411454,20.5667405403015,1.57258806247999,0.585112287635349,1.1877336453653,3.22792573469783,3.10694681217898,3.04841475340089,3.48120504634224,615.141666666667,223.721875,1336.0,111.3796875,8.56090572954852,0.74301737091742,1.98032172000177,16.7555530660664,8.27481087204803,5.17416224068412,1.01166898061344,12.6872328904202,67.734176,72.797088,2.2635,62.583968,1.3799,0.0010615597725703,0.0013215256837996,0.004452663058517,0.0044483017827733,0.0058597967195234,0.001212059272738,0.0011678030806129,3.67648465263566,11.5978539307298,11.4035896062967,12.091210820133,11.0966107348222,0.843408408027736,0.5182904569,0.4401398908,0.462269704,0.762950764077357,0.328032902672825,0.184482529226729,0.492065236623262,0.255341614489905,0.304165540411133,0.582732041463987,0.224009403200788,0.461508674930214,0.643166679944428,1.87737813433731,0.0346802469152646,3.1111427540299,0.591751919232941,1.33737834211887,0.725175124459081,50.5779011338528,18.4436795569091,3.19449221561086,0.616718253554016,2.95622616071011,1.99292001301075,0.0076083142896151,0.049486811760726,0.322293874506796,1.565252,0.3247217,0.146121,0.05106065,0.7598274,0.285080864145033,0.208147260000406,0.0229204665974379,0.346921399298455,17.5522297032496,9.00136247893156,5.27863267694816,1.02557667645497,14.0057167531909,239.128571428571,1607.75,127.518367346939
sub-010006,21.4326241855649,4.32633582743377,2.44522059297758,0.638108353068214,13.3422784722053,0.65558719634371,10,0,18,4,0,0,2,0,64,0.0821179049258853,0.182656474746898,0.228923700412335,0.0333593139345963,0.025335049098622,0.0063141679490453,0.006680438947173,2.85127897277182,0.690727012217481,1.87125516151999,33.2917873736036,1.56063419054202,0.679008235812243,1.18762236303032,3.07278064450958,3.0317914578346,2.93489245088606,3.25810042906342,711.175,199.729545454545,1167.11666666667,127.566666666667,8.15886151818434,0.803810730610993,2.26098891459316,42.8650153908974,8.65264293474071,4.83980644657043,1.27621277998318,26.6833504352253,68.671664,72.704536,1.9256,74.363624,1.8567,0.001253724811764,0.0012158200021826,0.004005573233221,0.0047815919974571,0.0040992135855387,0.0012549749652297,0.0011303988214671,5.249274418298,12.8454458272454,13.3229854157247,15.6842012121174,10.5601921030643,2.72534152813972,2.2723741811,0.4778929122,0.6219447465,0.78638043316689,0.0087385270996428,0.177606509738298,0.45618862568917,0.239536942892595,0.246719289693986,0.356529735862863,0.241953085597113,0.561489394869818,0.844088223276547,1.36235787577082,0.0344170496921912,3.42398152180592,0.498261067214846,1.13969991952849,0.645148624159487,31.1949902329071,16.3954044874033,2.87293824009245,0.599877955135861,2.75122967662817,1.9111901941155,0.0059689998246302,0.048000082106842,0.224537959522861,0.4292312,1.829841,0.1786835,0.5076427,0.593008,0.361243074070345,0.166031114552412,0.0228617937720267,0.362398596773499,38.619505907048,9.29533924634574,4.79032247422159,1.27446296663217,26.8693445521753,247.879166666667,1455.8,151.038888888889
sub-010007,22.5668309062321,5.25565712392507,1.96380579547317,1.19702946669013,4.50007819053283,0.657078443439961,0,0,0,6,6,0,0,0,40,0.0769694826719177,0.182635871795189,0.201647709780036,0.0338727348163882,0.0661636436892932,0.0236783846649508,0.0053866230183187,2.93641367630434,0.578047543323908,1.89951241073223,31.0548306987439,1.41172918892846,0.641125607925986,1.205165144056,2.96507224305016,3.01410583425508,2.90557583991662,2.97445076727595,639.8,223.60625,1095.3,127.161764705882,11.0704957597117,0.758793777259926,2.0667757448872,45.1333689996881,10.511293483559,3.8872582512108,2.39405429026001,8.99960994163638,64.0024,95.7998,2.2887,65.121192,0.7885,0.0010182722422705,0.0011285080336425,0.0021811146262644,0.0040302932946214,0.0037639244240179,0.001046976658643,0.0013287048484661,4.96415014384977,13.5082130678312,12.5974490432741,14.1942163541547,9.04613352563447,2.66940070860938,4.852452954,2.034601009,0.4851669572,0.710929053571973,0.104665169632319,0.166693514386488,0.0601712109399541,0.184842285827468,0.240069287280366,0.249982570583282,0.249622485426864,0.279653028558514,0.753968309187922,0.71285986580838,0.0261359843724538,1.46931374335399,0.51629586129507,1.38427613826768,0.672175462569262,30.4491989693884,15.8108347970512,3.29686290780376,0.602249760978386,2.76442636443302,1.79659157791456,0.0053870523032356,0.0362083569025391,0.262214975987841,6.325754,0.8010265,0.2142559,0.2020135,0.4585571,0.325545345848217,0.0975265411137634,0.0179408051180062,0.20559562625199,32.6222206805623,10.4218727240627,3.96323413115926,2.351119572337,9.67665712473445,239.253571428571,1359.0,127.752083333333
sub-010012,99.2699755224279,21.6337820479847,4.38566032938086,1.64815004234683,6.84969574549914,0.602347736776708,0,0,4,24,34,0,0,0,30,0.0809240663177679,0.209674945749571,0.177034348635915,0.0324936011094416,0.163408543403513,0.0226750838613218,0.0044674784931733,2.85440205393539,0.566378137193948,1.91255179403413,117.846940626337,1.30043456573089,0.739840082554006,1.26017929136113,3.10220794854762,2.97636453476872,2.94541118842371,3.08384921783155,631.325,255.446428571429,1031.05,135.134848484848,25.4264677269365,0.807023436113268,2.2725127271724,198.539054703139,43.2674550194968,8.71081583300088,3.29629053079295,13.6939248119088,71.670744,70.850912,2.4017,60.0222,2.075,0.0009836758599689,0.0011539163794848,0.0042695050841157,0.0048261860450398,0.0044049327167003,0.0013272083691781,0.001272615131604,5.1207541070649,17.8280362308547,13.8943144030964,12.3205774084644,9.30028949631792,2.53582295634149,17.88626907,1.866290219,0.4222806569,0.771516918511778,-0.0163405503342018,0.263230272896796,0.230434445849509,0.211956354301813,0.194591894283963,0.251991008714605,0.198713456269896,0.260922150445581,1.45526561095342,0.834864811276579,0.017794375157112,1.27016485615182,0.576747761150258,1.33255273339786,0.683256626941371,34.6466309670011,17.1916205041019,3.22485492856424,0.592312138921176,2.76660646012062,1.69071340962403,0.006744244167971,0.0781739797479665,0.269481422935702,3.70659,1.369173,0.3220522,0.07752876,0.5170475,0.532800629752029,0.111560112844005,0.0126644757851764,0.183189099125878,122.600775112899,42.6550154530521,8.41540186073546,3.18413098271972,14.9971434395342,295.945454545454,1207.9,135.166666666667
sub-010026,66.6716433438992,7.86503034280107,5.09549267175752,0.92942838161593,15.8942712663592,0.667924517676592,4,26,28,22,10,0,8,6,0,0.0577188014654847,0.182176183163691,0.181901813133219,0.0122049173729366,0.0228089201410493,0.0109165095944627,0.0028453677038125,2.79885176223137,0.612896966026,1.83685805312043,84.2925371133317,1.59405217842276,0.615880616962073,1.19656699821285,3.22888298036358,2.92554422621458,2.96996234045977,2.85553282425763,727.3,159.015476190476,975.266666666667,127.091860465116,10.7897523756973,0.744703127744962,2.00049651564395,133.342608249439,15.7300024943955,10.1043126730583,1.85885228933206,31.7854805667012,64.324888,68.210384,2.2283,62.8362,1.392,0.0011748883204679,0.0013815756088262,0.0035233994027466,0.0036405648500959,0.0039020889459402,0.0015779327769499,0.0012919474989008,3.64372360566383,19.8457057893679,11.9397050717788,13.5022570730594,11.7894600953338,0.96082866407736,1.90035265,0.949233347,0.2507683778,0.79629207196688,0.126631086856615,0.0680270095679278,0.352378499696103,-0.0861562695724346,0.220408817484039,0.283231216416831,0.221249213291899,0.268101759198769,0.609382949690651,1.38986168664138,0.0288672616560135,2.35192186514931,0.611298708501299,1.34714671121655,0.734744649793501,45.4712244012157,18.322617249904,3.31618842593586,0.618460946238721,2.91513089503763,1.7919753489147,0.0062374387439797,0.0698700182165563,0.197559632245957,4.43605,0.2405608,0.4585302,0.06431408,1.17887,0.282571051022884,0.165482995197597,0.0193925848107373,0.289784662360895,117.727446969272,16.4063698083158,10.0642054308059,1.92571782446762,32.6341222525052,207.196153846154,1239.0,119.9
sub-010037,37.4501254169936,19.4475940735761,7.40098894778607,3.10660690821719,10.0834950608267,0.671261032197711,0,2,12,28,0,0,166,0,2,0.0699294318405339,0.167986741579159,0.202095911170474,0.0187560015543922,0.0145713209909432,0.005159973033258,0.0025640400254143,2.88362985026668,0.628847825878241,1.87881433441448,60.1236441020398,1.49615482237018,0.626328947124713,1.31121956816529,3.10362810134163,3.01970052025102,2.97980334024667,3.47537867544962,599.375,199.5225,1191.2,119.441666666667,12.8761066832825,0.773073195650629,2.10214688036089,74.8994537958862,38.8950649621487,14.7381553134972,6.21320029197664,20.1649264405634,71.375656,71.396208,2.1671,62.393048,1.8832,0.001117489140652,0.0012342032229942,0.0053105546391589,0.0048335277857119,0.0048007570388342,0.0012485127360799,0.0011930109813867,4.4053178268809,11.957932277586,11.8171147134358,14.4401584023067,9.95800034446647,1.36574098648535,1.509249698,0.4213918714,0.1778269656,0.834616368775776,0.292320287340773,0.383702600695256,0.392216278438136,0.0594518534034293,0.210648816088007,0.303429284328631,0.206524371178216,0.370155329453078,0.845972078501458,1.12489509617705,0.0453317648066438,1.67512212368631,0.594137937691137,1.02221176885617,0.719754802031152,47.4993927689281,19.9904125003514,2.76795136113915,0.615667032715015,2.95367553660294,1.85633587923738,0.0073109060356301,0.0645052008212309,0.3028265534838,3.541425,0.4982465,0.1428903,0.05106692,0.7526124,0.356791264903433,0.141079557169477,0.0288275113099428,0.223812641432928,86.9779795817311,40.8412322260346,14.7670824301849,6.29146918142506,22.018761760505,231.775,1351.05,135.469696969697
sub-010039,1.81397416242492,1.56087974682728,0.923823312308951,1.63605682952229,1.06010825143168,0.571417962945943,0,0,10,32,6,0,0,2,0,0.0645491636220825,0.182196544068398,0.214275189029502,0.019150737146674,0.0069387117590134,0.0030093143305338,0.00110031435163,2.87772428243204,0.600981104809138,1.87792172339174,4.83174298842865,1.49633583026212,0.666458978127918,1.17338292434402,3.0375961842192,2.88732010606121,3.01214500584953,3.05468104758721,455.183333333333,215.752777777778,999.875,111.066379310345,3.89073816325549,0.808325384214426,2.27770058761506,3.62793618777548,3.12175285561383,1.83980824593593,3.27210889952132,2.11984983884265,72.093856,75.657192,1.364,66.443144,2.1317,0.001174888257163,0.0012817679024253,0.0038208011215064,0.0046667575581206,0.0044779156768323,0.0015408874917973,0.0016007693893563,4.18424756306244,10.8362553169173,13.6905202966184,15.6347467483782,12.3881497303425,1.64670001003336,0.5930843655,0.2695980384,0.09567249077,0.86098778414876,0.341199074393218,0.481395582935016,0.248913991807287,0.274521790379421,0.186466606495575,0.284115919002571,0.211694277300627,0.345780874721907,1.02060913103305,2.25512827677354,0.0938454156024827,1.52035442627914,0.500159723015897,0.90122045916398,0.66834023919929,24.9766570403125,15.4331625526216,2.53620628951709,0.601740845640994,2.73048823407258,2.08835304824925,0.0062988459339739,0.0413917757790723,0.253100974039807,0.2911912,1.303518,0.1183967,0.8435484,0.462395,0.421034431341677,0.232446525692691,0.0536007880042647,0.207501734598869,3.29758075813946,3.10175983738386,1.68995466428485,3.1408835625461,2.06414590523345,215.2475,1319.5,119.104716981132
sub-010041,26.3051577457993,15.1845796247722,2.97227905347027,0.448498095404919,4.82937569488569,0.643402697408525,0,10,140,50,28,0,232,0,4,0.0513876970761839,0.211412460015314,0.167676166750166,0.0064886841300448,0.0386562164873506,0.009766295902601,0.0020076863231682,2.94371146967057,0.556240341667459,1.85961985134225,37.7191560656175,1.3348692534971,0.66871459473875,1.17477323016618,3.12865475606307,2.94814949353996,3.02553813459801,3.17139841287552,639.05,199.336666666667,1055.4,127.173684210526,11.6757802672598,0.792461644069527,2.20830260373624,52.6100524411044,30.3691023502849,5.91231507057782,0.896991811894793,9.65403893158124,70.334368,70.153992,2.1162,62.930688,1.8751,0.0010979128947404,0.0012457770515723,0.0048280548759867,0.0048839725514293,0.0044489404073434,0.0012547638483603,0.0014615734889487,3.14087876153019,15.1596613719982,14.7198749628084,12.3332444429055,10.2264140663183,0.413096938738098,4.165402046,0.7158851215,0.192924177,0.729947183974866,0.291585245316161,0.0121054718199625,0.250566264012277,0.221684242309654,0.226958636031185,0.262033078279682,0.185583487361504,0.364952127070479,0.911238059453014,1.35169422371915,0.0256123164708745,1.30835135027263,0.527435269274331,1.44496476067187,0.688895734791341,37.8170643643967,17.9234497493155,3.4132990651524,0.605944641346805,2.84739328837267,1.74130503977821,0.0049635900496802,0.0363650226520875,0.255574408276614,1.623666,0.7113737,1.107919,0.04806344,1.04685,0.373344425307319,0.163520160578559,0.0172938374151289,0.185584260938776,59.5021109783882,34.4316450464323,5.65999986472599,0.893599638396703,11.337163025759,263.177777777778,1327.7,127.040277777778
sub-010044,10.6602678353285,20.8536800668223,3.02873452850652,1.91269829907133,3.02772937946965,0.553058702520601,14,18,58,58,28,140,46,0,484,0.0608712895490253,0.177691499378238,0.148503188400495,0.0169909527759969,0.0080272126233186,0.004714109513522,0.0024893870670977,2.94573675611674,0.637798895279869,1.90510829637383,25.1181020293315,1.33897227653191,0.822931088446689,1.25160367242489,3.15411109843082,2.9762995424395,2.94362553917914,3.22503207004151,447.325,239.058333333333,1047.6,127.353,21.1310525384006,0.885420042407941,2.63309365161989,21.3204144288529,41.7072785375089,6.02302415809721,3.82538900850924,6.05477111364442,78.97096,70.366336,1.9622,66.715808,1.387,0.001114350620444,0.0011883035858737,0.0052714311665219,0.0051961012397364,0.0051536782788655,0.0016169693800434,0.001269769631992,3.7857917713137,11.0782945537522,11.813566021645,9.9977094866442,10.1418023582416,1.27509053834815,0.6021646355,0.3062940169,0.1810603267,0.818238793087732,0.238363714268568,0.0239298091553532,0.350007836907871,0.308204346120669,0.213703073035761,0.36863511669852,0.192149800116947,0.478471151706852,1.64813269946601,1.3395031739939,0.109948554294491,1.22514105972341,0.427844823619705,1.16961028888031,0.581375597790455,18.1954460900234,13.8992547686841,2.91454412315459,0.585166049451559,2.59812658641415,2.49034212572139,0.0054770359975315,0.029597384774542,0.247994592271798,0.5181601,0.8858409,0.08464261,0.1371442,0.1033179,0.614148533089248,0.161288567805659,0.0608767368879434,0.178120640597287,21.6635620382689,46.1303920167771,5.69844366061237,3.74565784653844,6.06625101627405,247.517857142857,1271.15,143.229032258065
